Timepoint,GOID_BiologicalProcess,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
d0,GO:0050900,leukocyte migration,45091,383/23062,5.41E-08,4.35E-06,2.02E-06,ENSMUSG00000022651/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000058427,6
d0,GO:0002237,response to molecule of bacterial origin,45091,390/23062,6.03E-08,4.49E-06,2.08E-06,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677/ENSMUSG00000051439/ENSMUSG00000058427,6
d0,GO:1990868,response to chemokine,45030,73/23062,9.03E-08,5.89E-06,2.73E-06,ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677/ENSMUSG00000058427,4
d0,GO:1990869,cellular response to chemokine,45030,73/23062,9.03E-08,5.89E-06,2.73E-06,ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677/ENSMUSG00000058427,4
d0,GO:0070997,neuron death,45060,450/23062,4.79E-06,0.000294126,0.000136417,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000027737/ENSMUSG00000030717/ENSMUSG00000058427,5
d0,GO:0070098,chemokine-mediated signaling pathway,44999,63/23062,6.92E-06,0.000401448,0.000186193,ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000058427,3
d0,GO:0007204,positive regulation of cytosolic calcium ion concentration,45030,235/23062,9.71E-06,0.0005335,0.000247439,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000058427,4
d0,GO:0050688,regulation of defense response to virus,44999,75/23062,1.17E-05,0.00061173,0.000283722,ENSMUSG00000027398/ENSMUSG00000033107/ENSMUSG00000042677,3
d0,GO:0071347,cellular response to interleukin-1,44999,79/23062,1.37E-05,0.000650341,0.00030163,ENSMUSG00000027398/ENSMUSG00000040026/ENSMUSG00000042677,3
d0,GO:2000379,positive regulation of reactive oxygen species metabolic process,44999,79/23062,1.37E-05,0.000650341,0.00030163,ENSMUSG00000026822/ENSMUSG00000029380/ENSMUSG00000042677,3
d0,GO:0043525,positive regulation of neuron apoptotic process,44999,88/23062,1.90E-05,0.000860447,0.000399078,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000030717,3
d0,GO:0070555,response to interleukin-1,44999,97/23062,2.54E-05,0.001093264,0.00050706,ENSMUSG00000027398/ENSMUSG00000040026/ENSMUSG00000042677,3
d0,GO:1901222,regulation of NIK/NF-kappaB signaling,44999,98/23062,2.62E-05,0.001093264,0.00050706,ENSMUSG00000027398/ENSMUSG00000042677/ENSMUSG00000051439,3
d0,GO:0010660,regulation of muscle cell apoptotic process,44999,103/23062,3.04E-05,0.001220123,0.000565897,ENSMUSG00000030717/ENSMUSG00000042265/ENSMUSG00000042677,3
d0,GO:0051702,biological process involved in interaction with symbiont,44999,107/23062,3.41E-05,0.001287743,0.000597259,ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000042677,3
d0,GO:0010657,muscle cell apoptotic process,44999,108/23062,3.50E-05,0.001287743,0.000597259,ENSMUSG00000030717/ENSMUSG00000042265/ENSMUSG00000042677,3
d0,GO:0070943,neutrophil-mediated killing of symbiont cell,44971,15/23062,3.58E-05,0.001287743,0.000597259,ENSMUSG00000029380/ENSMUSG00000042265,2
d0,GO:0006959,humoral immune response,45030,338/23062,4.04E-05,0.001405895,0.000652059,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000058427,4
d0,GO:0009615,response to virus,45030,344/23062,4.33E-05,0.001457149,0.000675831,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000033107/ENSMUSG00000042677,4
d0,GO:0038061,NIK/NF-kappaB signaling,44999,118/23062,4.56E-05,0.001464743,0.000679353,ENSMUSG00000027398/ENSMUSG00000042677/ENSMUSG00000051439,3
d0,GO:0070942,neutrophil mediated cytotoxicity,44971,17/23062,4.63E-05,0.001464743,0.000679353,ENSMUSG00000029380/ENSMUSG00000042265,2
d0,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,44999,121/23062,4.92E-05,0.001509567,0.000700142,ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000058427,3
d0,GO:0009636,response to toxic substance,44999,123/23062,5.16E-05,0.001533681,0.000711326,ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000030717,3
d0,GO:0032649,regulation of interferon-gamma production,44999,124/23062,5.29E-05,0.001533681,0.000711326,ENSMUSG00000027398/ENSMUSG00000042677/ENSMUSG00000051439,3
d0,GO:0002831,regulation of response to biotic stimulus,45030,369/23062,5.69E-05,0.001604192,0.000744029,ENSMUSG00000027398/ENSMUSG00000029380/ENSMUSG00000033107/ENSMUSG00000042677,4
d0,GO:1901216,positive regulation of neuron death,44999,133/23062,6.52E-05,0.001790044,0.000830228,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000030717,3
d0,GO:0032609,interferon-gamma production,44999,137/23062,7.12E-05,0.001904831,0.000883467,ENSMUSG00000027398/ENSMUSG00000042677/ENSMUSG00000051439,3
d0,GO:1901214,regulation of neuron death,45030,399/23062,7.70E-05,0.001998993,0.00092714,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000027737/ENSMUSG00000030717,4
d0,GO:0097398,cellular response to interleukin-17,44971,22/23062,7.85E-05,0.001998993,0.00092714,ENSMUSG00000027398/ENSMUSG00000029380,2
d0,GO:0019221,cytokine-mediated signaling pathway,45030,419/23062,9.31E-05,0.002313177,0.001072859,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000058427,4
d0,GO:0097396,response to interleukin-17,44971,25/23062,0.000101848,0.002472772,0.00114688,ENSMUSG00000027398/ENSMUSG00000029380,2
d0,GO:0019730,antimicrobial humoral response,44999,158/23062,0.000108653,0.00257803,0.001195699,ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000058427,3
d0,GO:2000377,regulation of reactive oxygen species metabolic process,44999,162/23062,0.000117003,0.00271447,0.00125898,ENSMUSG00000026822/ENSMUSG00000029380/ENSMUSG00000042677,3
d0,GO:0032103,positive regulation of response to external stimulus,45030,454/23062,0.000126848,0.002878897,0.001335242,ENSMUSG00000027398/ENSMUSG00000029380/ENSMUSG00000030717/ENSMUSG00000042265,4
d0,GO:1900745,positive regulation of p38MAPK cascade,44971,29/23062,0.000137643,0.003057432,0.001418047,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0051873,killing by host of symbiont cells,44971,37/23062,0.000225163,0.004897298,0.002271382,ENSMUSG00000029380/ENSMUSG00000042265,2
d0,GO:0002446,neutrophil mediated immunity,44971,40/23062,0.00026343,0.005612679,0.002603178,ENSMUSG00000029380/ENSMUSG00000042265,2
d0,GO:0006953,acute-phase response,44971,41/23062,0.000276844,0.005780493,0.002681011,ENSMUSG00000027398/ENSMUSG00000040026,2
d0,GO:1900744,regulation of p38MAPK cascade,44971,42/23062,0.000290585,0.005948444,0.002758907,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0050691,regulation of defense response to virus by host,44971,44/23062,0.000319051,0.006405557,0.002970918,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0007249,I-kappaB kinase/NF-kappaB signaling,44999,231/23062,0.000332787,0.00655528,0.00304036,ENSMUSG00000027398/ENSMUSG00000040026/ENSMUSG00000042677,3
d0,GO:0072593,reactive oxygen species metabolic process,44999,244/23062,0.000390641,0.007552388,0.003502821,ENSMUSG00000026822/ENSMUSG00000029380/ENSMUSG00000042677,3
d0,GO:0044403,biological process involved in symbiotic interaction,44999,259/23062,0.000465031,0.008827126,0.004094049,ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000042677,3
d0,GO:0038066,p38MAPK cascade,44971,54/23062,0.000480952,0.008966328,0.004158611,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0034599,cellular response to oxidative stress,44999,273/23062,0.000542186,0.009930561,0.004605826,ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000042677,3
d0,GO:0032757,positive regulation of interleukin-8 production,44971,58/23062,0.000554796,0.009986319,0.004631687,ENSMUSG00000027398/ENSMUSG00000051439,2
d0,GO:0071622,regulation of granulocyte chemotaxis,44971,59/23062,0.000574063,0.010157995,0.00471131,ENSMUSG00000027398/ENSMUSG00000042265,2
d0,GO:0010665,regulation of cardiac muscle cell apoptotic process,44971,60/23062,0.000593652,0.01032955,0.004790878,ENSMUSG00000030717/ENSMUSG00000042265,2
d0,GO:0031663,lipopolysaccharide-mediated signaling pathway,44971,61/23062,0.000613563,0.010498079,0.004869043,ENSMUSG00000027398/ENSMUSG00000051439,2
d0,GO:0051607,defense response to virus,44999,287/23062,0.000627131,0.010498079,0.004869043,ENSMUSG00000027398/ENSMUSG00000033107/ENSMUSG00000042677,3
d0,GO:0140546,defense response to symbiont,44999,288/23062,0.000633505,0.010498079,0.004869043,ENSMUSG00000027398/ENSMUSG00000033107/ENSMUSG00000042677,3
d0,GO:0043523,regulation of neuron apoptotic process,44999,290/23062,0.000646377,0.010509849,0.004874502,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000030717,3
d0,GO:0010662,regulation of striated muscle cell apoptotic process,44971,63/23062,0.000654349,0.010509849,0.004874502,ENSMUSG00000030717/ENSMUSG00000042265,2
d0,GO:0010659,cardiac muscle cell apoptotic process,44971,64/23062,0.000675223,0.010680796,0.004953787,ENSMUSG00000030717/ENSMUSG00000042265,2
d0,GO:0010656,negative regulation of muscle cell apoptotic process,44971,65/23062,0.000696417,0.01085163,0.00503302,ENSMUSG00000030717/ENSMUSG00000042677,2
d0,GO:0031349,positive regulation of defense response,44999,300/23062,0.00071326,0.010950635,0.005078939,ENSMUSG00000027398/ENSMUSG00000029380/ENSMUSG00000030717,3
d0,GO:0010658,striated muscle cell apoptotic process,44971,67/23062,0.000739765,0.011192959,0.00519133,ENSMUSG00000030717/ENSMUSG00000042265,2
d0,GO:0045765,regulation of angiogenesis,44999,308/23062,0.000769843,0.011373643,0.005275132,ENSMUSG00000027398/ENSMUSG00000032484/ENSMUSG00000042677,3
d0,GO:0150076,neuroinflammatory response,44971,69/23062,0.000784389,0.011373643,0.005275132,ENSMUSG00000027398/ENSMUSG00000030717,2
d0,GO:1901224,positive regulation of NIK/NF-kappaB signaling,44971,69/23062,0.000784389,0.011373643,0.005275132,ENSMUSG00000027398/ENSMUSG00000051439,2
d0,GO:1901342,regulation of vasculature development,44999,312/23062,0.000799181,0.011429378,0.005300982,ENSMUSG00000027398/ENSMUSG00000032484/ENSMUSG00000042677,3
d0,GO:0015800,acidic amino acid transport,44971,71/23062,0.000830288,0.011713795,0.005432895,ENSMUSG00000027398/ENSMUSG00000027737,2
d0,GO:0007611,learning or memory,44999,319/23062,0.000852224,0.011727343,0.005439179,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000027737,3
d0,GO:0045428,regulation of nitric oxide biosynthetic process,44971,72/23062,0.000853715,0.011727343,0.005439179,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0098586,cellular response to virus,44971,73/23062,0.000877459,0.011896971,0.005517853,ENSMUSG00000033107/ENSMUSG00000042677,2
d0,GO:0051402,neuron apoptotic process,44999,329/23062,0.000931827,0.012405233,0.005753587,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000030717,3
d0,GO:0032677,regulation of interleukin-8 production,44971,76/23062,0.000950593,0.012405233,0.005753587,ENSMUSG00000027398/ENSMUSG00000051439,2
d0,GO:0080164,regulation of nitric oxide metabolic process,44971,76/23062,0.000950593,0.012405233,0.005753587,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0032637,interleukin-8 production,44971,77/23062,0.000975603,0.012574444,0.005832067,ENSMUSG00000027398/ENSMUSG00000051439,2
d0,GO:0051235,maintenance of location,44999,340/23062,0.001024702,0.012651792,0.005867941,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000042677,3
d0,GO:0038034,signal transduction in absence of ligand,44971,79/23062,0.001026572,0.012651792,0.005867941,ENSMUSG00000026822/ENSMUSG00000027398,2
d0,GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand,44971,79/23062,0.001026572,0.012651792,0.005867941,ENSMUSG00000026822/ENSMUSG00000027398,2
d0,GO:0062197,cellular response to chemical stress,44999,341/23062,0.001033426,0.012651792,0.005867941,ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000042677,3
d0,GO:0043270,positive regulation of ion transport,44999,342/23062,0.001042197,0.012651792,0.005867941,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000029380,3
d0,GO:0006809,nitric oxide biosynthetic process,44971,84/23062,0.001159505,0.013769581,0.006386376,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0050890,cognition,44999,356/23062,0.001170008,0.013769581,0.006386376,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000027737,3
d0,GO:0045862,positive regulation of proteolysis,44999,357/23062,0.0011795,0.013769581,0.006386376,ENSMUSG00000027398/ENSMUSG00000030717/ENSMUSG00000042677,3
d0,GO:0032729,positive regulation of interferon-gamma production,44971,85/23062,0.001187033,0.013769581,0.006386376,ENSMUSG00000027398/ENSMUSG00000051439,2
d0,GO:0062012,regulation of small molecule metabolic process,44999,368/23062,0.001287154,0.014766907,0.006848939,ENSMUSG00000027398/ENSMUSG00000027737/ENSMUSG00000030717,3
d0,GO:0019915,lipid storage,44971,90/23062,0.001329365,0.014923196,0.006921426,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0046209,nitric oxide metabolic process,44971,90/23062,0.001329365,0.014923196,0.006921426,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0006835,dicarboxylic acid transport,44971,91/23062,0.001358767,0.015090992,0.00699925,ENSMUSG00000027398/ENSMUSG00000027737,2
d0,GO:2001057,reactive nitrogen species metabolic process,44971,92/23062,0.001388481,0.015258674,0.007077022,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0042326,negative regulation of phosphorylation,44999,395/23062,0.001577282,0.017152937,0.007955587,ENSMUSG00000027398/ENSMUSG00000030717/ENSMUSG00000042677,3
d0,GO:0002690,positive regulation of leukocyte chemotaxis,44971,99/23062,0.00160516,0.017276151,0.008012734,ENSMUSG00000027398/ENSMUSG00000042265,2
d0,GO:0006979,response to oxidative stress,44999,407/23062,0.001718409,0.018304486,0.008489679,ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000042677,3
d0,GO:0032611,interleukin-1 beta production,44971,103/23062,0.00173577,0.018304486,0.008489679,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0042742,defense response to bacterium,44999,418/23062,0.001854557,0.019342898,0.008971298,ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000042265,3
d0,GO:0032479,regulation of type I interferon production,44971,107/23062,0.001871296,0.019342898,0.008971298,ENSMUSG00000033107/ENSMUSG00000051439,2
d0,GO:0010595,positive regulation of endothelial cell migration,44971,110/23062,0.001976152,0.0202265,0.009381115,ENSMUSG00000026822/ENSMUSG00000042677,2
d0,GO:0032606,type I interferon production,44971,111/23062,0.002011715,0.020390584,0.009457218,ENSMUSG00000033107/ENSMUSG00000051439,2
d0,GO:0051090,regulation of DNA-binding transcription factor activity,44999,435/23062,0.002078012,0.020860046,0.009674956,ENSMUSG00000027398/ENSMUSG00000030717/ENSMUSG00000042677,3
d0,GO:0032602,chemokine production,44971,118/23062,0.00226916,0.022561932,0.010464296,ENSMUSG00000027398/ENSMUSG00000042265,2
d0,GO:0010563,negative regulation of phosphorus metabolic process,44999,454/23062,0.002346972,0.022829767,0.010588519,ENSMUSG00000027398/ENSMUSG00000030717/ENSMUSG00000042677,3
d0,GO:0045936,negative regulation of phosphate metabolic process,44999,454/23062,0.002346972,0.022829767,0.010588519,ENSMUSG00000027398/ENSMUSG00000030717/ENSMUSG00000042677,3
d0,GO:0002697,regulation of immune effector process,44999,455/23062,0.0023617,0.022829767,0.010588519,ENSMUSG00000027398/ENSMUSG00000029380/ENSMUSG00000042677,3
d0,GO:0002764,immune response-regulating signaling pathway,44999,459/23062,0.002421192,0.023190131,0.010755657,ENSMUSG00000033107/ENSMUSG00000042677/ENSMUSG00000051439,3
d0,GO:0032612,interleukin-1 production,44971,124/23062,0.002501618,0.023528736,0.010912703,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:1905954,positive regulation of lipid localization,44971,124/23062,0.002501618,0.023528736,0.010912703,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0002444,myeloid leukocyte mediated immunity,44971,126/23062,0.00258151,0.023850414,0.011061898,ENSMUSG00000029380/ENSMUSG00000042265,2
d0,GO:0002688,regulation of leukocyte chemotaxis,44971,126/23062,0.00258151,0.023850414,0.011061898,ENSMUSG00000027398/ENSMUSG00000042265,2
d0,GO:0032874,positive regulation of stress-activated MAPK cascade,44971,137/23062,0.003042269,0.027860779,0.012921918,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0003158,endothelium development,44971,139/23062,0.003129905,0.028169141,0.013064937,ENSMUSG00000026822/ENSMUSG00000027398,2
d0,GO:0070304,positive regulation of stress-activated protein kinase signaling cascade,44971,139/23062,0.003129905,0.028169141,0.013064937,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0050729,positive regulation of inflammatory response,44971,144/23062,0.003354158,0.029929406,0.013881354,ENSMUSG00000027398/ENSMUSG00000030717,2
d0,GO:0002367,cytokine production involved in immune response,44971,148/23062,0.00353885,0.031309829,0.014521598,ENSMUSG00000027398/ENSMUSG00000042265,2
d0,GO:0050921,positive regulation of chemotaxis,44971,151/23062,0.003680443,0.032288925,0.014975706,ENSMUSG00000027398/ENSMUSG00000042265,2
d0,GO:0010565,regulation of cellular ketone metabolic process,44971,156/23062,0.003922256,0.03412363,0.015826648,ENSMUSG00000027398/ENSMUSG00000027737,2
d0,GO:0002687,positive regulation of leukocyte migration,44971,159/23062,0.004070827,0.034838858,0.016158373,ENSMUSG00000027398/ENSMUSG00000042265,2
d0,GO:0007613,memory,44971,160/23062,0.004120929,0.034838858,0.016158373,ENSMUSG00000026822/ENSMUSG00000027398,2
d0,GO:0010634,positive regulation of epithelial cell migration,44971,160/23062,0.004120929,0.034838858,0.016158373,ENSMUSG00000026822/ENSMUSG00000042677,2
d0,GO:0001909,leukocyte mediated cytotoxicity,44971,161/23062,0.004171319,0.034838858,0.016158373,ENSMUSG00000029380/ENSMUSG00000042265,2
d0,GO:0006865,amino acid transport,44971,161/23062,0.004171319,0.034838858,0.016158373,ENSMUSG00000027398/ENSMUSG00000027737,2
d0,GO:0032675,regulation of interleukin-6 production,44971,167/23062,0.004479707,0.037117575,0.01721525,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0043433,negative regulation of DNA-binding transcription factor activity,44971,170/23062,0.004637773,0.038124686,0.017682351,ENSMUSG00000030717/ENSMUSG00000042677,2
d0,GO:0010594,regulation of endothelial cell migration,44971,176/23062,0.004961605,0.040154387,0.018623733,ENSMUSG00000026822/ENSMUSG00000042677,2
d0,GO:0032635,interleukin-6 production,44971,176/23062,0.004961605,0.040154387,0.018623733,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0002705,positive regulation of leukocyte mediated immunity,44971,178/23062,0.005071822,0.04073063,0.018890996,ENSMUSG00000027398/ENSMUSG00000029380,2
d0,GO:0002221,pattern recognition receptor signaling pathway,44971,182/23062,0.005295648,0.041568849,0.019279765,ENSMUSG00000033107/ENSMUSG00000051439,2
d0,GO:0045766,positive regulation of angiogenesis,44971,182/23062,0.005295648,0.041568849,0.019279765,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:1904018,positive regulation of vasculature development,44971,182/23062,0.005295648,0.041568849,0.019279765,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0071674,mononuclear cell migration,44971,183/23062,0.00535231,0.041700089,0.019340634,ENSMUSG00000022651/ENSMUSG00000042265,2
d0,GO:0032680,regulation of tumor necrosis factor production,44971,186/23062,0.005523983,0.042718803,0.019813117,ENSMUSG00000042677/ENSMUSG00000051439,2
d0,GO:1905952,regulation of lipid localization,44971,187/23062,0.005581769,0.042848285,0.019873171,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0001659,temperature homeostasis,44971,189/23062,0.005698181,0.042912648,0.019903023,ENSMUSG00000026822/ENSMUSG00000027398,2
d0,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,44971,189/23062,0.005698181,0.042912648,0.019903023,ENSMUSG00000042677/ENSMUSG00000051439,2
d0,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,44971,192/23062,0.005874894,0.042912648,0.019903023,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0032640,tumor necrosis factor production,44971,193/23062,0.005934357,0.042912648,0.019903023,ENSMUSG00000042677/ENSMUSG00000051439,2
d0,GO:0051775,response to redox state,44940,10/23062,0.006055214,0.042912648,0.019903023,ENSMUSG00000027737,1
d0,GO:0070391,response to lipoteichoic acid,44940,10/23062,0.006055214,0.042912648,0.019903023,ENSMUSG00000051439,1
d0,GO:0071223,cellular response to lipoteichoic acid,44940,10/23062,0.006055214,0.042912648,0.019903023,ENSMUSG00000051439,1
d0,GO:0106104,regulation of glutamate receptor clustering,44940,10/23062,0.006055214,0.042912648,0.019903023,ENSMUSG00000027737,1
d0,GO:1900119,positive regulation of execution phase of apoptosis,44940,10/23062,0.006055214,0.042912648,0.019903023,ENSMUSG00000042677,1
d0,GO:1903596,regulation of gap junction assembly,44940,10/23062,0.006055214,0.042912648,0.019903023,ENSMUSG00000027398,1
d0,GO:1904717,regulation of AMPA glutamate receptor clustering,44940,10/23062,0.006055214,0.042912648,0.019903023,ENSMUSG00000027737,1
d0,GO:0071706,tumor necrosis factor superfamily cytokine production,44971,196/23062,0.006114412,0.042912648,0.019903023,ENSMUSG00000042677/ENSMUSG00000051439,2
d0,GO:0098739,import across plasma membrane,44971,199/23062,0.006296965,0.042912648,0.019903023,ENSMUSG00000026822/ENSMUSG00000027737,2
d0,GO:0045732,positive regulation of protein catabolic process,44971,200/23062,0.006358369,0.042912648,0.019903023,ENSMUSG00000027398/ENSMUSG00000030717,2
d0,GO:0034612,response to tumor necrosis factor,44971,201/23062,0.006420049,0.042912648,0.019903023,ENSMUSG00000042677/ENSMUSG00000051439,2
d0,GO:0032872,regulation of stress-activated MAPK cascade,44971,203/23062,0.006544237,0.042912648,0.019903023,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0006521,regulation of cellular amino acid metabolic process,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000027737,1
d0,GO:0010587,miRNA catabolic process,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000042677,1
d0,GO:0031620,regulation of fever generation,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000027398,1
d0,GO:0033212,iron import into cell,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000026822,1
d0,GO:0035672,oligopeptide transmembrane transport,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000027737,1
d0,GO:0035744,T-helper 1 cell cytokine production,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000027398,1
d0,GO:0039532,negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000033107,1
d0,GO:1902035,positive regulation of hematopoietic stem cell proliferation,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000029380,1
d0,GO:2000320,negative regulation of T-helper 17 cell differentiation,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000042677,1
d0,GO:2001280,positive regulation of unsaturated fatty acid biosynthetic process,44940,11/23062,0.006658859,0.042912648,0.019903023,ENSMUSG00000027398,1
d0,GO:0070302,regulation of stress-activated protein kinase signaling cascade,44971,206/23062,0.006732582,0.043121571,0.019999922,ENSMUSG00000027398/ENSMUSG00000042677,2
d0,GO:0001781,neutrophil apoptotic process,44940,12/23062,0.007262164,0.044079646,0.02044428,ENSMUSG00000027737,1
d0,GO:0006534,cysteine metabolic process,44940,12/23062,0.007262164,0.044079646,0.02044428,ENSMUSG00000027737,1
d0,GO:0031392,regulation of prostaglandin biosynthetic process,44940,12/23062,0.007262164,0.044079646,0.02044428,ENSMUSG00000027398,1
d0,GO:0032725,positive regulation of granulocyte macrophage colony-stimulating factor production,44940,12/23062,0.007262164,0.044079646,0.02044428,ENSMUSG00000027398,1
d0,GO:0042762,regulation of sulfur metabolic process,44940,12/23062,0.007262164,0.044079646,0.02044428,ENSMUSG00000027737,1
