"","Mouse","Age","Group","Sex","Day","TEWL","Condition","Redness","Thickness","Scabbiness","Cohort","Organism","Dose","complete_score"
"24",4,"9","control1","M",0,70.1,"Tapestrip",NA,NA,NA,1,"PBS",0,NA
"25",5,"9","control1","M",0,70.3,"Tapestrip",NA,NA,NA,1,"PBS",0,NA
"26",1,"8","group0","M",0,NA,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"27",2,"9","group0","M",0,NA,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"28",3,"9","group0","M",0,NA,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"29",1,"9","group1","M",0,78.2,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"30",2,"9","group1","M",0,77.6,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"31",3,"9","group1","M",0,80.1,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"32",4,"9","group1","M",0,72.4,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"33",5,"9","group1","M",0,74.2,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"34",6,"9","group1","M",0,75.1,"Tapestrip",NA,NA,NA,1,"Sepi44",1000000000,NA
"35",1,"9","control0","M",1,12.9,"Recovery",NA,NA,NA,1,"PBS",0,NA
"36",2,"8","control0","M",1,7.4,"Recovery",NA,NA,NA,1,"PBS",0,NA
"37",3,"8","control0","M",1,20,"Recovery",NA,NA,NA,1,"PBS",0,NA
"38",1,"8","control1","M",1,37.9,"Recovery",NA,NA,NA,1,"PBS",0,NA
"39",2,"9","control1","M",1,88.6,"Recovery",NA,NA,NA,1,"PBS",0,NA
"40",3,"9","control1","M",1,31.6,"Recovery",NA,NA,NA,1,"PBS",0,NA
"41",4,"9","control1","M",1,68.6,"Recovery",NA,NA,NA,1,"PBS",0,NA
"42",5,"9","control1","M",1,24,"Recovery",NA,NA,NA,1,"PBS",0,NA
"43",1,"8","group0","M",1,7.6,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"44",2,"9","group0","M",1,9,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"45",3,"9","group0","M",1,7.8,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"46",1,"9","group1","M",1,82.9,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"47",2,"9","group1","M",1,81.2,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"48",3,"9","group1","M",1,85.8,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"49",4,"9","group1","M",1,85.5,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"50",5,"9","group1","M",1,85.6,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"51",6,"9","group1","M",1,73,"Recovery",NA,NA,NA,1,"Sepi44",1000000000,NA
"52",1,"9","control0","M",2,3.8,"Recovery",0,0,0,1,"PBS",0,0
"53",2,"8","control0","M",2,4.6,"Recovery",0,0,0,1,"PBS",0,0
"54",3,"8","control0","M",2,8,"Recovery",0,0,0,1,"PBS",0,0
"55",1,"8","control1","M",2,17.3,"Recovery",0,1,0,1,"PBS",0,1
"56",2,"9","control1","M",2,46.1,"Recovery",0,2,1,1,"PBS",0,3
"57",3,"9","control1","M",2,16.8,"Recovery",0,1,0,1,"PBS",0,1
"58",4,"9","control1","M",2,47,"Recovery",0,0,0,1,"PBS",0,0
"59",5,"9","control1","M",2,17.6,"Recovery",0,1,0,1,"PBS",0,1
"60",1,"8","group0","M",2,8.4,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"61",2,"9","group0","M",2,7.7,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"62",3,"9","group0","M",2,4.5,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"63",1,"9","group1","M",2,87.4,"Recovery",0,2,0,1,"Sepi44",1000000000,2
"64",2,"9","group1","M",2,81.3,"Recovery",0,3,0,1,"Sepi44",1000000000,3
"65",3,"9","group1","M",2,89.9,"Recovery",1,2,0,1,"Sepi44",1000000000,3
"66",4,"9","group1","M",2,70.9,"Recovery",0,1,0,1,"Sepi44",1000000000,1
"67",5,"9","group1","M",2,70.5,"Recovery",0,2,0,1,"Sepi44",1000000000,2
"68",6,"9","group1","M",2,86,"Recovery",0,1,0,1,"Sepi44",1000000000,1
"69",1,"9","control0","M",3,11.6,"Recovery",0,0,0,1,"PBS",0,0
"70",2,"8","control0","M",3,5,"Recovery",0,0,0,1,"PBS",0,0
"71",3,"8","control0","M",3,6.4,"Recovery",0,0,0,1,"PBS",0,0
"72",1,"8","control1","M",3,12.6,"Recovery",0,1,1,1,"PBS",0,2
"73",2,"9","control1","M",3,28.5,"Recovery",0,2,1,1,"PBS",0,3
"74",3,"9","control1","M",3,9.3,"Recovery",1,1,0,1,"PBS",0,2
"75",4,"9","control1","M",3,25.9,"Recovery",0,0,0,1,"PBS",0,0
"76",5,"9","control1","M",3,11.7,"Recovery",1,1,0,1,"PBS",0,2
"77",1,"8","group0","M",3,3.6,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"78",2,"9","group0","M",3,4.9,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"79",3,"9","group0","M",3,5.5,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"80",1,"9","group1","M",3,72.9,"Recovery",0,2,1,1,"Sepi44",1000000000,3
"81",2,"9","group1","M",3,66,"Recovery",0,2,1,1,"Sepi44",1000000000,3
"82",3,"9","group1","M",3,64.7,"Recovery",0,3,2,1,"Sepi44",1000000000,5
"83",4,"9","group1","M",3,46.9,"Recovery",0,2,1,1,"Sepi44",1000000000,3
"84",5,"9","group1","M",3,59.6,"Recovery",0,3,2,1,"Sepi44",1000000000,5
"85",6,"9","group1","M",3,54,"Recovery",1,2,2,1,"Sepi44",1000000000,5
"86",1,"9","control0","M",4,9.2,"Recovery",0,0,0,1,"PBS",0,0
"87",2,"8","control0","M",4,7.4,"Recovery",0,0,0,1,"PBS",0,0
"88",3,"8","control0","M",4,2,"Recovery",0,0,0,1,"PBS",0,0
"89",1,"8","control1","M",4,10.4,"Recovery",0,1,1,1,"PBS",0,2
"90",2,"9","control1","M",4,24.4,"Recovery",1,1,1,1,"PBS",0,3
"91",3,"9","control1","M",4,13.6,"Recovery",0,0,1,1,"PBS",0,1
"92",4,"9","control1","M",4,15.4,"Recovery",0,0,1,1,"PBS",0,1
"93",5,"9","control1","M",4,19.9,"Recovery",0,1,1,1,"PBS",0,2
"94",1,"8","group0","M",4,4.9,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"95",2,"9","group0","M",4,4.3,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"96",3,"9","group0","M",4,3.1,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"97",1,"9","group1","M",4,38.5,"Recovery",0,2,2,1,"Sepi44",1000000000,4
"98",2,"9","group1","M",4,44.6,"Recovery",1,2,2,1,"Sepi44",1000000000,5
"99",3,"9","group1","M",4,39.4,"Recovery",1,3,3,1,"Sepi44",1000000000,7
"100",4,"9","group1","M",4,44.3,"Recovery",1,2,0,1,"Sepi44",1000000000,3
"101",5,"9","group1","M",4,30.9,"Recovery",0,3,2,1,"Sepi44",1000000000,5
"102",6,"9","group1","M",4,48.6,"Recovery",1,2,1,1,"Sepi44",1000000000,4
"103",1,"9","control0","M",5,6.2,"Recovery",0,0,0,1,"PBS",0,0
"104",2,"8","control0","M",5,4.7,"Recovery",0,0,0,1,"PBS",0,0
"105",3,"8","control0","M",5,3.7,"Recovery",0,0,0,1,"PBS",0,0
"106",1,"8","control1","M",5,10.5,"Recovery",0,0,0,1,"PBS",0,0
"107",2,"9","control1","M",5,19.2,"Recovery",0,1,1,1,"PBS",0,2
"108",3,"9","control1","M",5,9,"Recovery",0,0,0,1,"PBS",0,0
"109",4,"9","control1","M",5,7.8,"Recovery",0,0,0,1,"PBS",0,0
"110",5,"9","control1","M",5,5.9,"Recovery",0,1,0,1,"PBS",0,1
"111",1,"8","group0","M",5,3,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"112",2,"9","group0","M",5,5.8,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"113",3,"9","group0","M",5,2.1,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"114",1,"9","group1","M",5,50.3,"Recovery",0,2,0,1,"Sepi44",1000000000,2
"115",2,"9","group1","M",5,36.2,"Recovery",0,3,1,1,"Sepi44",1000000000,4
"116",3,"9","group1","M",5,33.2,"Recovery",1,3,1,1,"Sepi44",1000000000,5
"117",4,"9","group1","M",5,32.8,"Recovery",0,2,0,1,"Sepi44",1000000000,2
"118",5,"9","group1","M",5,47.6,"Recovery",2,2,1,1,"Sepi44",1000000000,5
"119",6,"9","group1","M",5,30.8,"Recovery",1,2,0,1,"Sepi44",1000000000,3
"120",1,"9","control0","M",6,4.6,"Recovery",0,0,0,1,"PBS",0,0
"121",2,"8","control0","M",6,8.2,"Recovery",0,0,0,1,"PBS",0,0
"122",3,"8","control0","M",6,3.7,"Recovery",0,0,0,1,"PBS",0,0
"123",1,"8","control1","M",6,7.7,"Recovery",0,0,0,1,"PBS",0,0
"124",2,"9","control1","M",6,8.7,"Recovery",1,1,1,1,"PBS",0,3
"125",3,"9","control1","M",6,5.5,"Recovery",0,0,0,1,"PBS",0,0
"126",4,"9","control1","M",6,6.9,"Recovery",0,0,0,1,"PBS",0,0
"127",5,"9","control1","M",6,7.3,"Recovery",0,0,0,1,"PBS",0,0
"128",1,"8","group0","M",6,4,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"129",2,"9","group0","M",6,4.3,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"130",3,"9","group0","M",6,3.3,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"131",1,"9","group1","M",6,30.2,"Recovery",1,2,0,1,"Sepi44",1000000000,3
"132",2,"9","group1","M",6,25.5,"Recovery",0,2,1,1,"Sepi44",1000000000,3
"133",3,"9","group1","M",6,42.3,"Recovery",0,3,1,1,"Sepi44",1000000000,4
"134",4,"9","group1","M",6,21.8,"Recovery",0,2,0,1,"Sepi44",1000000000,2
"135",5,"9","group1","M",6,24.5,"Recovery",0,2,0,1,"Sepi44",1000000000,2
"136",6,"9","group1","M",6,25,"Recovery",0,1,0,1,"Sepi44",1000000000,1
"137",1,"9","control0","M",7,7.5,"Recovery",0,0,0,1,"PBS",0,0
"138",2,"8","control0","M",7,4.2,"Recovery",0,0,0,1,"PBS",0,0
"139",3,"8","control0","M",7,3.4,"Recovery",0,0,0,1,"PBS",0,0
"140",1,"8","control1","M",7,5.6,"Recovery",0,0,0,1,"PBS",0,0
"141",2,"9","control1","M",7,5.7,"Recovery",0,0,0,1,"PBS",0,0
"142",3,"9","control1","M",7,2.5,"Recovery",0,0,0,1,"PBS",0,0
"143",4,"9","control1","M",7,6.4,"Recovery",0,0,0,1,"PBS",0,0
"144",5,"9","control1","M",7,2,"Recovery",0,0,0,1,"PBS",0,0
"145",1,"8","group0","M",7,6.8,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"146",2,"9","group0","M",7,2.5,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"147",3,"9","group0","M",7,5.1,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"148",1,"9","group1","M",7,14.5,"Recovery",0,1,0,1,"Sepi44",1000000000,1
"149",2,"9","group1","M",7,17.3,"Recovery",1,2,0,1,"Sepi44",1000000000,3
"150",3,"9","group1","M",7,15.2,"Recovery",0,2,1,1,"Sepi44",1000000000,3
"151",4,"9","group1","M",7,13.6,"Recovery",1,1,0,1,"Sepi44",1000000000,2
"152",5,"9","group1","M",7,10.1,"Recovery",1,2,0,1,"Sepi44",1000000000,3
"153",6,"9","group1","M",7,9.2,"Recovery",0,0,0,1,"Sepi44",1000000000,0
"154",1,"8w_9w","control1","M",0,5.2,"Baseline",NA,NA,NA,2,"PBS",0,NA
"155",2,"8w_9w","control1","M",0,4.9,"Baseline",NA,NA,NA,2,"PBS",0,NA
"156",3,"8w_9w","control1","M",0,3.3,"Baseline",NA,NA,NA,2,"PBS",0,NA
"157",4,"8w_9w","control1","M",0,4.7,"Baseline",NA,NA,NA,2,"PBS",0,NA
"158",1,"8w_9w","group1","M",0,4.4,"Baseline",NA,NA,NA,2,"Sepi44",100000000,NA
"159",2,"8w_9w","group1","M",0,5.1,"Baseline",NA,NA,NA,2,"Sepi44",100000000,NA
"160",3,"8w_9w","group1","M",0,4,"Baseline",NA,NA,NA,2,"Sepi44",100000000,NA
"161",4,"8w_9w","group1","M",0,7,"Baseline",NA,NA,NA,2,"Sepi44",100000000,NA
"162",1,"8w_9w","staph21","M",0,6.9,"Baseline",NA,NA,NA,2,"Sepi21",100000000,NA
"163",2,"8w_9w","staph21","M",0,NA,"Baseline",NA,NA,NA,2,"Sepi21",100000000,NA
"164",3,"8w_9w","staph21","M",0,6.6,"Baseline",NA,NA,NA,2,"Sepi21",100000000,NA
"165",4,"8w_9w","staph21","M",0,7.1,"Baseline",NA,NA,NA,2,"Sepi21",100000000,NA
"166",5,"8w_9w","staph21","M",0,6.1,"Baseline",NA,NA,NA,2,"Sepi21",100000000,NA
"167",1,"8w_9w","lacto","M",0,6.5,"Baseline",NA,NA,NA,2,"L_reuteri",100000000,NA
"168",2,"8w_9w","lacto","M",0,9.7,"Baseline",NA,NA,NA,2,"L_reuteri",100000000,NA
"169",3,"8w_9w","lacto","M",0,7,"Baseline",NA,NA,NA,2,"L_reuteri",100000000,NA
"170",4,"8w_9w","lacto","M",0,5.2,"Baseline",NA,NA,NA,2,"L_reuteri",100000000,NA
"171",5,"8w_9w","lacto","M",0,5.5,"Baseline",NA,NA,NA,2,"L_reuteri",100000000,NA
"172",1,"8w_9w","saureus","M",0,4.1,"Baseline",NA,NA,NA,2,"S_aureus",100000000,NA
"173",2,"8w_9w","saureus","M",0,4.8,"Baseline",NA,NA,NA,2,"S_aureus",100000000,NA
"174",3,"8w_9w","saureus","M",0,3,"Baseline",NA,NA,NA,2,"S_aureus",100000000,NA
"175",4,"8w_9w","saureus","M",0,3.4,"Baseline",NA,NA,NA,2,"S_aureus",100000000,NA
"176",5,"8w_9w","saureus","M",0,5,"Baseline",NA,NA,NA,2,"S_aureus",100000000,NA
"177",1,"8w_9w","control1","M",0,73.7,"Tapestrip",NA,NA,NA,2,"PBS",0,NA
"178",2,"8w_9w","control1","M",0,71.8,"Tapestrip",NA,NA,NA,2,"PBS",0,NA
"179",3,"8w_9w","control1","M",0,75.1,"Tapestrip",NA,NA,NA,2,"PBS",0,NA
"180",4,"8w_9w","control1","M",0,77.7,"Tapestrip",NA,NA,NA,2,"PBS",0,NA
"181",1,"8w_9w","group1","M",0,74.7,"Tapestrip",NA,NA,NA,2,"Sepi44",100000000,NA
"182",2,"8w_9w","group1","M",0,74.1,"Tapestrip",NA,NA,NA,2,"Sepi44",100000000,NA
"183",3,"8w_9w","group1","M",0,67,"Tapestrip",NA,NA,NA,2,"Sepi44",100000000,NA
"184",4,"8w_9w","group1","M",0,61.7,"Tapestrip",NA,NA,NA,2,"Sepi44",100000000,NA
"185",1,"8w_9w","staph21","M",0,68.4,"Tapestrip",NA,NA,NA,2,"Sepi21",100000000,NA
"186",2,"8w_9w","staph21","M",0,72.2,"Tapestrip",NA,NA,NA,2,"Sepi21",100000000,NA
"187",3,"8w_9w","staph21","M",0,63.7,"Tapestrip",NA,NA,NA,2,"Sepi21",100000000,NA
"188",4,"8w_9w","staph21","M",0,70.6,"Tapestrip",NA,NA,NA,2,"Sepi21",100000000,NA
"189",5,"8w_9w","staph21","M",0,62.1,"Tapestrip",NA,NA,NA,2,"Sepi21",100000000,NA
"190",1,"8w_9w","lacto","M",0,75,"Tapestrip",NA,NA,NA,2,"L_reuteri",100000000,NA
"191",2,"8w_9w","lacto","M",0,76.8,"Tapestrip",NA,NA,NA,2,"L_reuteri",100000000,NA
"192",3,"8w_9w","lacto","M",0,80.4,"Tapestrip",NA,NA,NA,2,"L_reuteri",100000000,NA
"193",4,"8w_9w","lacto","M",0,77.4,"Tapestrip",NA,NA,NA,2,"L_reuteri",100000000,NA
"194",5,"8w_9w","lacto","M",0,65.4,"Tapestrip",NA,NA,NA,2,"L_reuteri",100000000,NA
"195",1,"8w_9w","saureus","M",0,68.9,"Tapestrip",NA,NA,NA,2,"S_aureus",100000000,NA
"196",2,"8w_9w","saureus","M",0,73.6,"Tapestrip",NA,NA,NA,2,"S_aureus",100000000,NA
"197",3,"8w_9w","saureus","M",0,64.9,"Tapestrip",NA,NA,NA,2,"S_aureus",100000000,NA
"198",4,"8w_9w","saureus","M",0,72,"Tapestrip",NA,NA,NA,2,"S_aureus",100000000,NA
"199",5,"8w_9w","saureus","M",0,63.6,"Tapestrip",NA,NA,NA,2,"S_aureus",100000000,NA
"200",1,"8w_9w","control1","M",1,64.5,"Recovery",NA,NA,NA,2,"PBS",0,NA
"201",2,"8w_9w","control1","M",1,55.5,"Recovery",NA,NA,NA,2,"PBS",0,NA
"202",3,"8w_9w","control1","M",1,45,"Recovery",NA,NA,NA,2,"PBS",0,NA
"203",4,"8w_9w","control1","M",1,67.1,"Recovery",NA,NA,NA,2,"PBS",0,NA
"204",1,"8w_9w","group1","M",1,69.1,"Recovery",NA,NA,NA,2,"Sepi44",100000000,NA
"205",2,"8w_9w","group1","M",1,17.8,"Recovery",NA,NA,NA,2,"Sepi44",100000000,NA
"206",3,"8w_9w","group1","M",1,73.1,"Recovery",NA,NA,NA,2,"Sepi44",100000000,NA
"207",4,"8w_9w","group1","M",1,52,"Recovery",NA,NA,NA,2,"Sepi44",100000000,NA
"208",1,"8w_9w","staph21","M",1,67.8,"Recovery",NA,NA,NA,2,"Sepi21",100000000,NA
"209",2,"8w_9w","staph21","M",1,74,"Recovery",NA,NA,NA,2,"Sepi21",100000000,NA
"210",3,"8w_9w","staph21","M",1,37.8,"Recovery",NA,NA,NA,2,"Sepi21",100000000,NA
"211",4,"8w_9w","staph21","M",1,17.2,"Recovery",NA,NA,NA,2,"Sepi21",100000000,NA
"212",5,"8w_9w","staph21","M",1,78.1,"Recovery",NA,NA,NA,2,"Sepi21",100000000,NA
"213",1,"8w_9w","lacto","M",1,35.4,"Recovery",NA,NA,NA,2,"L_reuteri",100000000,NA
"214",2,"8w_9w","lacto","M",1,57.8,"Recovery",NA,NA,NA,2,"L_reuteri",100000000,NA
"215",3,"8w_9w","lacto","M",1,64,"Recovery",NA,NA,NA,2,"L_reuteri",100000000,NA
"216",4,"8w_9w","lacto","M",1,36.9,"Recovery",NA,NA,NA,2,"L_reuteri",100000000,NA
"217",5,"8w_9w","lacto","M",1,12.3,"Recovery",NA,NA,NA,2,"L_reuteri",100000000,NA
"218",1,"8w_9w","saureus","M",1,28.9,"Recovery",NA,NA,NA,2,"S_aureus",100000000,NA
"219",2,"8w_9w","saureus","M",1,67.1,"Recovery",NA,NA,NA,2,"S_aureus",100000000,NA
"220",3,"8w_9w","saureus","M",1,50.1,"Recovery",NA,NA,NA,2,"S_aureus",100000000,NA
"221",4,"8w_9w","saureus","M",1,73.9,"Recovery",NA,NA,NA,2,"S_aureus",100000000,NA
"222",5,"8w_9w","saureus","M",1,70.9,"Recovery",NA,NA,NA,2,"S_aureus",100000000,NA
"223",1,"8w_9w","control1","M",2,45,"Recovery",0,1,0,2,"PBS",0,1
"224",2,"8w_9w","control1","M",2,40.5,"Recovery",0,2,0,2,"PBS",0,2
"225",3,"8w_9w","control1","M",2,41.2,"Recovery",0,1,0,2,"PBS",0,1
"226",4,"8w_9w","control1","M",2,50.7,"Recovery",0,2,1,2,"PBS",0,3
"227",1,"8w_9w","group1","M",2,66.5,"Recovery",1,2,0,2,"Sepi44",100000000,3
"228",2,"8w_9w","group1","M",2,26,"Recovery",0,1,0,2,"Sepi44",100000000,1
"229",3,"8w_9w","group1","M",2,72.8,"Recovery",1,3,0,2,"Sepi44",100000000,4
"230",4,"8w_9w","group1","M",2,52.9,"Recovery",0,2,0,2,"Sepi44",100000000,2
"231",1,"8w_9w","staph21","M",2,61.6,"Recovery",0,2,0,2,"Sepi21",100000000,2
"232",2,"8w_9w","staph21","M",2,64,"Recovery",0,3,0,2,"Sepi21",100000000,3
"233",3,"8w_9w","staph21","M",2,43,"Recovery",0,2,0,2,"Sepi21",100000000,2
"234",4,"8w_9w","staph21","M",2,33.4,"Recovery",0,1,0,2,"Sepi21",100000000,1
"235",5,"8w_9w","staph21","M",2,71.3,"Recovery",0,2,0,2,"Sepi21",100000000,2
"236",1,"8w_9w","lacto","M",2,13.1,"Recovery",0,0,0,2,"L_reuteri",100000000,0
"237",2,"8w_9w","lacto","M",2,38.4,"Recovery",0,2,0,2,"L_reuteri",100000000,2
"238",3,"8w_9w","lacto","M",2,28,"Recovery",0,1,0,2,"L_reuteri",100000000,1
"239",4,"8w_9w","lacto","M",2,29.1,"Recovery",0,1,0,2,"L_reuteri",100000000,1
"240",5,"8w_9w","lacto","M",2,5.4,"Recovery",0,1,0,2,"L_reuteri",100000000,1
"241",1,"8w_9w","saureus","M",2,51.7,"Recovery",0,1,0,2,"S_aureus",100000000,1
"242",2,"8w_9w","saureus","M",2,53.9,"Recovery",0,2,0,2,"S_aureus",100000000,2
"243",3,"8w_9w","saureus","M",2,NA,"Recovery",NA,NA,NA,2,"S_aureus",100000000,NA
"244",4,"8w_9w","saureus","M",2,73.9,"Recovery",1,3,0,2,"S_aureus",100000000,4
"245",5,"8w_9w","saureus","M",2,56.2,"Recovery",0,2,0,2,"S_aureus",100000000,2
"246",1,"8w_9w","control1","M",3,36.6,"Recovery",0,0,1,2,"PBS",0,1
"247",2,"8w_9w","control1","M",3,31,"Recovery",1,2,1,2,"PBS",0,4
"248",3,"8w_9w","control1","M",3,28.3,"Recovery",0,1,1,2,"PBS",0,2
"249",4,"8w_9w","control1","M",3,59.6,"Recovery",1,2,0,2,"PBS",0,3
"250",1,"8w_9w","group1","M",3,66.1,"Recovery",1,3,1,2,"Sepi44",100000000,5
"251",2,"8w_9w","group1","M",3,21.7,"Recovery",0,2,0,2,"Sepi44",100000000,2
"252",3,"8w_9w","group1","M",3,68.3,"Recovery",1,3,1,2,"Sepi44",100000000,5
"253",4,"8w_9w","group1","M",3,34.3,"Recovery",2,3,1,2,"Sepi44",100000000,6
"254",1,"8w_9w","staph21","M",3,62.8,"Recovery",1,2,1,2,"Sepi21",100000000,4
"255",2,"8w_9w","staph21","M",3,66.7,"Recovery",0,3,2,2,"Sepi21",100000000,5
"256",3,"8w_9w","staph21","M",3,34.9,"Recovery",0,2,1,2,"Sepi21",100000000,3
"257",4,"8w_9w","staph21","M",3,20.1,"Recovery",0,1,0,2,"Sepi21",100000000,1
"258",5,"8w_9w","staph21","M",3,63.3,"Recovery",0,2,0,2,"Sepi21",100000000,2
"259",1,"8w_9w","lacto","M",3,9.8,"Recovery",0,0,0,2,"L_reuteri",100000000,0
"260",2,"8w_9w","lacto","M",3,30.5,"Recovery",1,2,1,2,"L_reuteri",100000000,4
"261",3,"8w_9w","lacto","M",3,25.9,"Recovery",0,1,1,2,"L_reuteri",100000000,2
"262",4,"8w_9w","lacto","M",3,21.2,"Recovery",0,1,1,2,"L_reuteri",100000000,2
"263",5,"8w_9w","lacto","M",3,10.3,"Recovery",0,1,0,2,"L_reuteri",100000000,1
"264",1,"8w_9w","saureus","M",3,55.9,"Recovery",0,3,1,2,"S_aureus",100000000,4
"265",2,"8w_9w","saureus","M",3,64.6,"Recovery",0,3,1,2,"S_aureus",100000000,4
"266",3,"8w_9w","saureus","M",3,NA,"Recovery",NA,NA,NA,2,"S_aureus",100000000,NA
"267",4,"8w_9w","saureus","M",3,65.4,"Recovery",1,3,3,2,"S_aureus",100000000,7
"268",5,"8w_9w","saureus","M",3,64.8,"Recovery",1,3,2,2,"S_aureus",100000000,6
"269",1,"8w_9w","control1","M",4,22.6,"Recovery",0,1,1,2,"PBS",0,2
"270",2,"8w_9w","control1","M",4,24.6,"Recovery",0,1,1,2,"PBS",0,2
"271",3,"8w_9w","control1","M",4,25.4,"Recovery",0,1,0,2,"PBS",0,1
"272",4,"8w_9w","control1","M",4,39.3,"Recovery",1,1,1,2,"PBS",0,3
"273",1,"8w_9w","group1","M",4,55.1,"Recovery",0,2,2,2,"Sepi44",100000000,4
"274",2,"8w_9w","group1","M",4,7.1,"Recovery",0,1,0,2,"Sepi44",100000000,1
"275",3,"8w_9w","group1","M",4,55.2,"Recovery",0,2,1,2,"Sepi44",100000000,3
"276",4,"8w_9w","group1","M",4,38.7,"Recovery",1,2,1,2,"Sepi44",100000000,4
"277",1,"8w_9w","staph21","M",4,52.9,"Recovery",0,1,1,2,"Sepi21",100000000,2
"278",2,"8w_9w","staph21","M",4,63.8,"Recovery",0,3,2,2,"Sepi21",100000000,5
"279",3,"8w_9w","staph21","M",4,22.9,"Recovery",0,2,1,2,"Sepi21",100000000,3
"280",4,"8w_9w","staph21","M",4,22,"Recovery",0,0,0,2,"Sepi21",100000000,0
"281",5,"8w_9w","staph21","M",4,48,"Recovery",0,1,1,2,"Sepi21",100000000,2
"282",1,"8w_9w","lacto","M",4,13.1,"Recovery",0,0,0,2,"L_reuteri",100000000,0
"283",2,"8w_9w","lacto","M",4,35,"Recovery",0,2,1,2,"L_reuteri",100000000,3
