,Unnamed: 0,Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,expandlist
27,28,d4,GO:0045182,translation regulator activity,28/1456,138/22537,5.30613862698566e-08,6.93588120527411e-06,5.9364919375599e-06,ENSMUSG00000008682/ENSMUSG00000055762/ENSMUSG00000020372/ENSMUSG00000036781/ENSMUSG00000028798/ENSMUSG00000021282/ENSMUSG00000036371/ENSMUSG00000022884/ENSMUSG00000053565/ENSMUSG00000071644/ENSMUSG00000078812/ENSMUSG00000045193/ENSMUSG00000030057/ENSMUSG00000000355/ENSMUSG00000037058/ENSMUSG00000033047/ENSMUSG00000059796/ENSMUSG00000040731/ENSMUSG00000074895/ENSMUSG00000070319/ENSMUSG00000005610/ENSMUSG00000022336/ENSMUSG00000031029/ENSMUSG00000018858/ENSMUSG00000035530/ENSMUSG00000025967/ENSMUSG00000027170/ENSMUSG00000035064,28,"['ENSMUSG00000008682', 'ENSMUSG00000055762', 'ENSMUSG00000020372', 'ENSMUSG00000036781', 'ENSMUSG00000028798', 'ENSMUSG00000021282', 'ENSMUSG00000036371', 'ENSMUSG00000022884', 'ENSMUSG00000053565', 'ENSMUSG00000071644', 'ENSMUSG00000078812', 'ENSMUSG00000045193', 'ENSMUSG00000030057', 'ENSMUSG00000000355', 'ENSMUSG00000037058', 'ENSMUSG00000033047', 'ENSMUSG00000059796', 'ENSMUSG00000040731', 'ENSMUSG00000074895', 'ENSMUSG00000070319', 'ENSMUSG00000005610', 'ENSMUSG00000022336', 'ENSMUSG00000031029', 'ENSMUSG00000018858', 'ENSMUSG00000035530', 'ENSMUSG00000025967', 'ENSMUSG00000027170', 'ENSMUSG00000035064']"
28,29,d4,GO:0008135,"translation factor activity, RNA binding",21/1456,85/22537,7.18352899776306e-08,8.2161612911915e-06,7.03229680833647e-06,ENSMUSG00000055762/ENSMUSG00000028798/ENSMUSG00000021282/ENSMUSG00000022884/ENSMUSG00000053565/ENSMUSG00000071644/ENSMUSG00000078812/ENSMUSG00000000355/ENSMUSG00000033047/ENSMUSG00000059796/ENSMUSG00000040731/ENSMUSG00000074895/ENSMUSG00000070319/ENSMUSG00000005610/ENSMUSG00000022336/ENSMUSG00000031029/ENSMUSG00000018858/ENSMUSG00000035530/ENSMUSG00000025967/ENSMUSG00000027170/ENSMUSG00000035064,21,"['ENSMUSG00000055762', 'ENSMUSG00000028798', 'ENSMUSG00000021282', 'ENSMUSG00000022884', 'ENSMUSG00000053565', 'ENSMUSG00000071644', 'ENSMUSG00000078812', 'ENSMUSG00000000355', 'ENSMUSG00000033047', 'ENSMUSG00000059796', 'ENSMUSG00000040731', 'ENSMUSG00000074895', 'ENSMUSG00000070319', 'ENSMUSG00000005610', 'ENSMUSG00000022336', 'ENSMUSG00000031029', 'ENSMUSG00000018858', 'ENSMUSG00000035530', 'ENSMUSG00000025967', 'ENSMUSG00000027170', 'ENSMUSG00000035064']"
29,30,d4,GO:0090079,"translation regulator activity, nucleic acid binding",23/1456,104/22537,1.57117402916277e-07,1.59736026298215e-05,1.36719704993813e-05,ENSMUSG00000055762/ENSMUSG00000036781/ENSMUSG00000028798/ENSMUSG00000021282/ENSMUSG00000022884/ENSMUSG00000053565/ENSMUSG00000071644/ENSMUSG00000078812/ENSMUSG00000000355/ENSMUSG00000037058/ENSMUSG00000033047/ENSMUSG00000059796/ENSMUSG00000040731/ENSMUSG00000074895/ENSMUSG00000070319/ENSMUSG00000005610/ENSMUSG00000022336/ENSMUSG00000031029/ENSMUSG00000018858/ENSMUSG00000035530/ENSMUSG00000025967/ENSMUSG00000027170/ENSMUSG00000035064,23,"['ENSMUSG00000055762', 'ENSMUSG00000036781', 'ENSMUSG00000028798', 'ENSMUSG00000021282', 'ENSMUSG00000022884', 'ENSMUSG00000053565', 'ENSMUSG00000071644', 'ENSMUSG00000078812', 'ENSMUSG00000000355', 'ENSMUSG00000037058', 'ENSMUSG00000033047', 'ENSMUSG00000059796', 'ENSMUSG00000040731', 'ENSMUSG00000074895', 'ENSMUSG00000070319', 'ENSMUSG00000005610', 'ENSMUSG00000022336', 'ENSMUSG00000031029', 'ENSMUSG00000018858', 'ENSMUSG00000035530', 'ENSMUSG00000025967', 'ENSMUSG00000027170', 'ENSMUSG00000035064']"
30,31,d4,GO:0070990,snRNP binding,8/1456,13/22537,2.85970384044577e-07,2.61662901400788e-05,2.23959963925437e-05,ENSMUSG00000063511/ENSMUSG00000027620/ENSMUSG00000024217/ENSMUSG00000027404/ENSMUSG00000030224/ENSMUSG00000040824/ENSMUSG00000057278/ENSMUSG00000090553,8,"['ENSMUSG00000063511', 'ENSMUSG00000027620', 'ENSMUSG00000024217', 'ENSMUSG00000027404', 'ENSMUSG00000030224', 'ENSMUSG00000040824', 'ENSMUSG00000057278', 'ENSMUSG00000090553']"
31,32,d4,GO:1990446,U1 snRNP binding,7/1456,10/22537,4.67494840012846e-07,3.88870707828867e-05,3.32838431549816e-05,ENSMUSG00000063511/ENSMUSG00000027620/ENSMUSG00000024217/ENSMUSG00000027404/ENSMUSG00000040824/ENSMUSG00000057278/ENSMUSG00000090553,7,"['ENSMUSG00000063511', 'ENSMUSG00000027620', 'ENSMUSG00000024217', 'ENSMUSG00000027404', 'ENSMUSG00000040824', 'ENSMUSG00000057278', 'ENSMUSG00000090553']"
32,33,d4,GO:0030020,extracellular matrix structural constituent conferring tensile strength,14/1456,45/22537,5.18164538211701e-07,3.93932794309429e-05,3.3717112334336e-05,ENSMUSG00000048126/ENSMUSG00000032332/ENSMUSG00000029661/ENSMUSG00000040690/ENSMUSG00000034463/ENSMUSG00000001119/ENSMUSG00000031503/ENSMUSG00000020241/ENSMUSG00000026837/ENSMUSG00000028339/ENSMUSG00000026042/ENSMUSG00000001506/ENSMUSG00000031502/ENSMUSG00000001435,14,"['ENSMUSG00000048126', 'ENSMUSG00000032332', 'ENSMUSG00000029661', 'ENSMUSG00000040690', 'ENSMUSG00000034463', 'ENSMUSG00000001119', 'ENSMUSG00000031503', 'ENSMUSG00000020241', 'ENSMUSG00000026837', 'ENSMUSG00000028339', 'ENSMUSG00000026042', 'ENSMUSG00000001506', 'ENSMUSG00000031502', 'ENSMUSG00000001435']"
33,34,d4,GO:0042625,ATPase-coupled ion transmembrane transporter activity,10/1456,23/22537,6.45791466081031e-07,3.93932794309429e-05,3.3717112334336e-05,ENSMUSG00000015575/ENSMUSG00000006273/ENSMUSG00000024121/ENSMUSG00000022295/ENSMUSG00000033379/ENSMUSG00000039105/ENSMUSG00000004285/ENSMUSG00000013160/ENSMUSG00000021114/ENSMUSG00000025393,10,"['ENSMUSG00000015575', 'ENSMUSG00000006273', 'ENSMUSG00000024121', 'ENSMUSG00000022295', 'ENSMUSG00000033379', 'ENSMUSG00000039105', 'ENSMUSG00000004285', 'ENSMUSG00000013160', 'ENSMUSG00000021114', 'ENSMUSG00000025393']"
34,35,d4,GO:0044769,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",10/1456,23/22537,6.45791466081031e-07,3.93932794309429e-05,3.3717112334336e-05,ENSMUSG00000015575/ENSMUSG00000006273/ENSMUSG00000024121/ENSMUSG00000022295/ENSMUSG00000033379/ENSMUSG00000039105/ENSMUSG00000004285/ENSMUSG00000013160/ENSMUSG00000021114/ENSMUSG00000025393,10,"['ENSMUSG00000015575', 'ENSMUSG00000006273', 'ENSMUSG00000024121', 'ENSMUSG00000022295', 'ENSMUSG00000033379', 'ENSMUSG00000039105', 'ENSMUSG00000004285', 'ENSMUSG00000013160', 'ENSMUSG00000021114', 'ENSMUSG00000025393']"
35,36,d4,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",10/1456,23/22537,6.45791466081031e-07,3.93932794309429e-05,3.3717112334336e-05,ENSMUSG00000015575/ENSMUSG00000006273/ENSMUSG00000024121/ENSMUSG00000022295/ENSMUSG00000033379/ENSMUSG00000039105/ENSMUSG00000004285/ENSMUSG00000013160/ENSMUSG00000021114/ENSMUSG00000025393,10,"['ENSMUSG00000015575', 'ENSMUSG00000006273', 'ENSMUSG00000024121', 'ENSMUSG00000022295', 'ENSMUSG00000033379', 'ENSMUSG00000039105', 'ENSMUSG00000004285', 'ENSMUSG00000013160', 'ENSMUSG00000021114', 'ENSMUSG00000025393']"
36,37,d4,GO:0015399,primary active transmembrane transporter activity,26/1456,141/22537,1.10082034679671e-06,6.29531635824367e-05,5.38822590800494e-05,ENSMUSG00000015575/ENSMUSG00000025968/ENSMUSG00000006273/ENSMUSG00000024121/ENSMUSG00000022295/ENSMUSG00000033379/ENSMUSG00000022822/ENSMUSG00000039105/ENSMUSG00000022551/ENSMUSG00000000088/ENSMUSG00000004285/ENSMUSG00000033938/ENSMUSG00000059734/ENSMUSG00000093904/ENSMUSG00000013160/ENSMUSG00000026260/ENSMUSG00000030730/ENSMUSG00000029467/ENSMUSG00000037916/ENSMUSG00000021114/ENSMUSG00000019943/ENSMUSG00000027712/ENSMUSG00000025393/ENSMUSG00000038717/ENSMUSG00000026944/ENSMUSG00000020153,26,"['ENSMUSG00000015575', 'ENSMUSG00000025968', 'ENSMUSG00000006273', 'ENSMUSG00000024121', 'ENSMUSG00000022295', 'ENSMUSG00000033379', 'ENSMUSG00000022822', 'ENSMUSG00000039105', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000004285', 'ENSMUSG00000033938', 'ENSMUSG00000059734', 'ENSMUSG00000093904', 'ENSMUSG00000013160', 'ENSMUSG00000026260', 'ENSMUSG00000030730', 'ENSMUSG00000029467', 'ENSMUSG00000037916', 'ENSMUSG00000021114', 'ENSMUSG00000019943', 'ENSMUSG00000027712', 'ENSMUSG00000025393', 'ENSMUSG00000038717', 'ENSMUSG00000026944', 'ENSMUSG00000020153']"
