"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"13","d0","GO:0032496","response to lipopolysaccharide","6/14","383/23006",5.49261204405838e-08,4.11945903304379e-06,1.83235316773446e-06,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000051439/ENSMUSG00000042677",6
"14","d0","GO:0050900","leukocyte migration","6/14","392/23006",6.30256299466516e-08,4.38928494271324e-06,1.95237289759552e-06,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265",6
"15","d0","GO:0002237","response to molecule of bacterial origin","6/14","403/23006",7.42414669748811e-08,4.82569535336727e-06,2.14649013288779e-06,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000051439/ENSMUSG00000042677",6
"16","d0","GO:1990868","response to chemokine","4/14","79/23006",1.25565228243889e-07,7.20153514928189e-06,3.20327393414752e-06,"ENSMUSG00000058427/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677",4
"17","d0","GO:1990869","cellular response to chemokine","4/14","79/23006",1.25565228243889e-07,7.20153514928189e-06,3.20327393414752e-06,"ENSMUSG00000058427/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677",4
"18","d0","GO:0007204","positive regulation of cytosolic calcium ion concentration","4/14","203/23006",5.49703536274411e-06,0.000297756082148639,0.00013244319119594,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380",4
"19","d0","GO:0070098","chemokine-mediated signaling pathway","3/14","69/23006",9.17871577288666e-06,0.000471013046240236,0.000209508637032094,"ENSMUSG00000058427/ENSMUSG00000029379/ENSMUSG00000029380",3
"20","d0","GO:0071347","cellular response to interleukin-1","3/14","81/23006",1.48826521855085e-05,0.000725529294043538,0.000322718563180499,"ENSMUSG00000027398/ENSMUSG00000040026/ENSMUSG00000042677",3
"21","d0","GO:2000379","positive regulation of reactive oxygen species metabolic process","3/14","86/23006",1.78194909913663e-05,0.000827333510313437,0.000368001518217691,"ENSMUSG00000026822/ENSMUSG00000029380/ENSMUSG00000042677",3
"22","d0","GO:0043525","positive regulation of neuron apoptotic process","3/14","94/23006",2.3272862809264e-05,0.00103141096541056,0.000458776051551042,"ENSMUSG00000026822/ENSMUSG00000030717/ENSMUSG00000027398",3
"23","d0","GO:0070555","response to interleukin-1","3/14","97/23006",2.5571130646832e-05,0.00108399358176788,0.000482165026384201,"ENSMUSG00000027398/ENSMUSG00000040026/ENSMUSG00000042677",3
"24","d0","GO:0006959","humoral immune response","4/14","307/23006",2.80086271583495e-05,0.00113785047830795,0.000506120806545614,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380",4
"25","d0","GO:0050688","regulation of defense response to virus","3/14","102/23006",2.97252262548162e-05,0.00115928382393783,0.000515654451241443,"ENSMUSG00000027398/ENSMUSG00000033107/ENSMUSG00000042677",3
"26","d0","GO:0010660","regulation of muscle cell apoptotic process","3/14","108/23006",3.52680368352881e-05,0.00129799956761189,0.000577355813070012,"ENSMUSG00000030717/ENSMUSG00000042265/ENSMUSG00000042677",3
"27","d0","GO:0070943","neutrophil-mediated killing of symbiont cell","2/14","15/23006",3.59446034107908e-05,0.00129799956761189,0.000577355813070012,"ENSMUSG00000029380/ENSMUSG00000042265",2
"28","d0","GO:0051702","biological process involved in interaction with symbiont","3/14","114/23006",4.14508470528658e-05,0.00144337770987658,0.000642020638563185,"ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000042677",3
"29","d0","GO:0010657","muscle cell apoptotic process","3/14","118/23006",4.59445555548239e-05,0.00151204457116901,0.000672563955003113,"ENSMUSG00000030717/ENSMUSG00000042265/ENSMUSG00000042677",3
"30","d0","GO:0070942","neutrophil mediated cytotoxicity","2/14","17/23006",4.65244483436619e-05,0.00151204457116901,0.000672563955003113,"ENSMUSG00000029380/ENSMUSG00000042265",2
"31","d0","GO:0032649","regulation of type II interferon production","3/14","126/23006",5.5867928654035e-05,0.00175713646573175,0.000781581888131152,"ENSMUSG00000027398/ENSMUSG00000051439/ENSMUSG00000042677",3
"32","d0","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","3/14","128/23006",5.85507656505232e-05,0.00178396864091438,0.000793516955526827,"ENSMUSG00000058427/ENSMUSG00000029379/ENSMUSG00000029380",3
"33","d0","GO:0009615","response to virus","4/14","382/23006",6.56532701952976e-05,0.00192428069107287,0.000855928361373306,"ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000033107/ENSMUSG00000042677",4
"34","d0","GO:0002526","acute inflammatory response","3/14","134/23006",6.7103121534849e-05,0.00192428069107287,0.000855928361373306,"ENSMUSG00000030717/ENSMUSG00000027398/ENSMUSG00000040026",3
"35","d0","GO:0009636","response to toxic substance","3/14","137/23006",7.1670028960696e-05,0.00199652223533368,0.00088806171223479,"ENSMUSG00000026822/ENSMUSG00000030717/ENSMUSG00000027737",3
"36","d0","GO:0032609","type II interferon production","3/14","140/23006",7.6436048415535e-05,0.00207014297792074,0.000920808536467849,"ENSMUSG00000027398/ENSMUSG00000051439/ENSMUSG00000042677",3
"37","d0","GO:0097398","cellular response to interleukin-17","2/14","24/23006",9.41877021542901e-05,0.00248197323244413,0.00110399241216408,"ENSMUSG00000027398/ENSMUSG00000029380",2
"38","d0","GO:0051873","killing by host of symbiont cells","2/14","26/23006",0.000110832323357569,0.00284372408614816,0.00126490075410855,"ENSMUSG00000029380/ENSMUSG00000042265",2
"39","d0","GO:0097396","response to interleukin-17","2/14","27/23006",0.000119657293026199,0.00299051048929542,0.00133019198012385,"ENSMUSG00000027398/ENSMUSG00000029380",2
"40","d0","GO:0019221","cytokine-mediated signaling pathway","4/14","449/23006",0.000122687609817248,0.00299051048929542,0.00133019198012385,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380",4
"41","d0","GO:2000377","regulation of reactive oxygen species metabolic process","3/14","169/23006",0.000133556094609823,0.00317602907913605,0.00141271145004486,"ENSMUSG00000026822/ENSMUSG00000029380/ENSMUSG00000042677",3
"42","d0","GO:1900745","positive regulation of p38MAPK cascade","2/14","29/23006",0.000138310788593309,0.00321078616377324,0.00142817155138956,"ENSMUSG00000027398/ENSMUSG00000042677",2
"43","d0","GO:0019730","antimicrobial humoral response","3/14","194/23006",0.000200682515411151,0.00455035936106679,0.00202401949447721,"ENSMUSG00000058427/ENSMUSG00000029379/ENSMUSG00000029380",3
"44","d0","GO:0002446","neutrophil mediated immunity","2/14","40/23006",0.00026470586471035,0.00586564132028617,0.00260906258996805,"ENSMUSG00000029380/ENSMUSG00000042265",2
"45","d0","GO:1900744","regulation of p38MAPK cascade","2/14","42/23006",0.000291991441835561,0.0063264812397705,0.00281404617628658,"ENSMUSG00000027398/ENSMUSG00000042677",2
"46","d0","GO:0006953","acute-phase response","2/14","44/23006",0.000320594542256752,0.00679521040652899,0.00302253893386229,"ENSMUSG00000027398/ENSMUSG00000040026",2
"47","d0","GO:0050691","regulation of defense response to virus by host","2/14","45/23006",0.000335389293009735,0.00695754384435088,0.00309474554804055,"ENSMUSG00000027398/ENSMUSG00000042677",2
"48","d0","GO:0034599","cellular response to oxidative stress","3/14","242/23006",0.000384059347619028,0.0078012054985115,0.00347000989515438,"ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000042677",3
"49","d0","GO:0007249","canonical NF-kappaB signal transduction","3/14","254/23006",0.000442420519049354,0.00880326543006368,0.0039157304800931,"ENSMUSG00000027398/ENSMUSG00000040026/ENSMUSG00000042677",3
"50","d0","GO:0072593","reactive oxygen species metabolic process","3/14","256/23006",0.000452670252119717,0.00882706991633448,0.00392631881838576,"ENSMUSG00000026822/ENSMUSG00000029380/ENSMUSG00000042677",3
"51","d0","GO:0044403","biological process involved in symbiotic interaction","3/14","263/23006",0.000489747499934531,0.00936281985168957,0.00416462270326165,"ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000042677",3
"52","d0","GO:0038066","p38MAPK cascade","2/14","56/23006",0.000519725414860392,0.00974485152863235,0.00433455204296521,"ENSMUSG00000027398/ENSMUSG00000042677",2
"53","d0","GO:0032757","positive regulation of interleukin-8 production","2/14","58/23006",0.000557473402971467,0.0102554069414562,0.00456164929541697,"ENSMUSG00000027398/ENSMUSG00000051439",2
"54","d0","GO:0071622","regulation of granulocyte chemotaxis","2/14","62/23006",0.000636852674920539,0.011498728852732,0.00511468425082382,"ENSMUSG00000027398/ENSMUSG00000042265",2
"55","d0","GO:0010665","regulation of cardiac muscle cell apoptotic process","2/14","63/23006",0.000657504506032221,0.0116557616978439,0.00518453313847416,"ENSMUSG00000030717/ENSMUSG00000042265",2
"56","d0","GO:0010662","regulation of striated muscle cell apoptotic process","2/14","66/23006",0.000721391336395572,0.0125599384461729,0.00558671486080781,"ENSMUSG00000030717/ENSMUSG00000042265",2
"57","d0","GO:0010656","negative regulation of muscle cell apoptotic process","2/14","67/23006",0.000743329582707429,0.0127148481252586,0.00565561935504082,"ENSMUSG00000030717/ENSMUSG00000042677",2
"58","d0","GO:0045765","regulation of angiogenesis","3/14","307/23006",0.000767997350407635,0.0129103002870249,0.00574255732065237,"ENSMUSG00000027398/ENSMUSG00000032484/ENSMUSG00000042677",3
"59","d0","GO:0043523","regulation of neuron apoptotic process","3/14","310/23006",0.000789954613706644,0.0129571324427761,0.00576338846577463,"ENSMUSG00000026822/ENSMUSG00000030717/ENSMUSG00000027398",3
"60","d0","GO:1901342","regulation of vasculature development","3/14","311/23006",0.000797361996478529,0.0129571324427761,0.00576338846577463,"ENSMUSG00000027398/ENSMUSG00000032484/ENSMUSG00000042677",3
"61","d0","GO:0010659","cardiac muscle cell apoptotic process","2/14","71/23006",0.000834286621237353,0.0131167220754006,0.00583437462355201,"ENSMUSG00000030717/ENSMUSG00000042265",2
"62","d0","GO:0062197","cellular response to chemical stress","3/14","316/23006",0.000835066060862317,0.0131167220754006,0.00583437462355201,"ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000042677",3
"63","d0","GO:0045428","regulation of nitric oxide biosynthetic process","2/14","73/23006",0.000881682789112344,0.0131167220754006,0.00583437462355201,"ENSMUSG00000027398/ENSMUSG00000042677",2
"64","d0","GO:0051607","defense response to virus","3/14","325/23006",0.000905769699444127,0.0131167220754006,0.00583437462355201,"ENSMUSG00000027398/ENSMUSG00000033107/ENSMUSG00000042677",3
"65","d0","GO:0010658","striated muscle cell apoptotic process","2/14","74/23006",0.000905859091093836,0.0131167220754006,0.00583437462355201,"ENSMUSG00000030717/ENSMUSG00000042265",2
"66","d0","GO:0140546","defense response to symbiont","3/14","326/23006",0.000913853466370477,0.0131167220754006,0.00583437462355201,"ENSMUSG00000027398/ENSMUSG00000033107/ENSMUSG00000042677",3
"67","d0","GO:0015800","acidic amino acid transport","2/14","75/23006",0.000930353750865053,0.0131167220754006,0.00583437462355201,"ENSMUSG00000027737/ENSMUSG00000027398",2
"68","d0","GO:0032677","regulation of interleukin-8 production","2/14","75/23006",0.000930353750865053,0.0131167220754006,0.00583437462355201,"ENSMUSG00000027398/ENSMUSG00000051439",2
"69","d0","GO:0007611","learning or memory","3/14","329/23006",0.000938380923273673,0.0131167220754006,0.00583437462355201,"ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000027398",3
"70","d0","GO:0032637","interleukin-8 production","2/14","76/23006",0.000955166428054813,0.0131167220754006,0.00583437462355201,"ENSMUSG00000027398/ENSMUSG00000051439",2
"71","d0","GO:0080164","regulation of nitric oxide metabolic process","2/14","76/23006",0.000955166428054813,0.0131167220754006,0.00583437462355201,"ENSMUSG00000027398/ENSMUSG00000042677",2
"72","d0","GO:0038034","signal transduction in absence of ligand","2/14","79/23006",0.00103150916412233,0.0137770059591681,0.00612807174648016,"ENSMUSG00000026822/ENSMUSG00000027398",2
"73","d0","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","2/14","79/23006",0.00103150916412233,0.0137770059591681,0.00612807174648016,"ENSMUSG00000026822/ENSMUSG00000027398",2
"74","d0","GO:0150076","neuroinflammatory response","2/14","84/23006",0.00116507570942488,0.01535065968499,0.00682803971953131,"ENSMUSG00000030717/ENSMUSG00000027398",2
"75","d0","GO:0006809","nitric oxide biosynthetic process","2/14","86/23006",0.00122070945247812,0.0156604173179759,0.00696582125236825,"ENSMUSG00000027398/ENSMUSG00000042677",2
"76","d0","GO:0032729","positive regulation of type II interferon production","2/14","86/23006",0.00122070945247812,0.0156604173179759,0.00696582125236825,"ENSMUSG00000027398/ENSMUSG00000051439",2
"77","d0","GO:0050890","cognition","3/14","368/23006",0.00129616266102602,0.0162020332628253,0.00720673436359948,"ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000027398",3
"78","d0","GO:0051402","neuron apoptotic process","3/14","368/23006",0.00129616266102602,0.0162020332628253,0.00720673436359948,"ENSMUSG00000026822/ENSMUSG00000030717/ENSMUSG00000027398",3
"79","d0","GO:0045862","positive regulation of proteolysis","3/14","370/23006",0.0013165207614726,0.0162481992713391,0.0072272692035538,"ENSMUSG00000030717/ENSMUSG00000027398/ENSMUSG00000042677",3
"80","d0","GO:0046209","nitric oxide metabolic process","2/14","91/23006",0.00136528797722402,0.0166394472224178,0.0074012979817934,"ENSMUSG00000027398/ENSMUSG00000042677",2
"81","d0","GO:2001057","reactive nitrogen species metabolic process","2/14","93/23006",0.00142530997840821,0.0171565089993581,0.0076312892931018,"ENSMUSG00000027398/ENSMUSG00000042677",2
"82","d0","GO:0006979","response to oxidative stress","3/14","388/23006",0.00150892245203893,0.0178566236142763,0.00794270329725436,"ENSMUSG00000026822/ENSMUSG00000027737/ENSMUSG00000042677",3
"83","d0","GO:0062012","regulation of small molecule metabolic process","3/14","389/23006",0.00152010231793327,0.0178566236142763,0.00794270329725436,"ENSMUSG00000030717/ENSMUSG00000027737/ENSMUSG00000027398",3
"84","d0","GO:0006835","dicarboxylic acid transport","2/14","99/23006",0.00161285163510907,0.0187205993360874,0.00832700342938517,"ENSMUSG00000027737/ENSMUSG00000027398",2
"85","d0","GO:0042742","defense response to bacterium","3/14","401/23006",0.00165836804838571,0.0188034742221644,0.00836386653660645,"ENSMUSG00000026822/ENSMUSG00000027398/ENSMUSG00000042265",3
"86","d0","GO:0019915","lipid storage","2/14","101/23006",0.00167784846905467,0.0188034742221644,0.00836386653660645,"ENSMUSG00000027398/ENSMUSG00000042677",2
"87","d0","GO:0032611","interleukin-1 beta production","2/14","101/23006",0.00167784846905467,0.0188034742221644,0.00836386653660645,"ENSMUSG00000027398/ENSMUSG00000042677",2
"88","d0","GO:0031640","killing of cells of another organism","2/14","103/23006",0.00174408231892505,0.018894225121688,0.00840423292862129,"ENSMUSG00000029380/ENSMUSG00000042265",2
"89","d0","GO:0141061","disruption of cell in another organism","2/14","103/23006",0.00174408231892505,0.018894225121688,0.00840423292862129,"ENSMUSG00000029380/ENSMUSG00000042265",2
"90","d0","GO:1901222","regulation of non-canonical NF-kappaB signal transduction","2/14","103/23006",0.00174408231892505,0.018894225121688,0.00840423292862129,"ENSMUSG00000027398/ENSMUSG00000042677",2
"91","d0","GO:0002833","positive regulation of response to biotic stimulus","3/14","410/23006",0.00176710844098203,0.0189333047248075,0.00842161570485363,"ENSMUSG00000029380/ENSMUSG00000051439/ENSMUSG00000033107",3
"92","d0","GO:0002690","positive regulation of leukocyte chemotaxis","2/14","108/23006",0.00191506138168699,0.0202954874689654,0.00902752047202562,"ENSMUSG00000027398/ENSMUSG00000042265",2
"93","d0","GO:0010595","positive regulation of endothelial cell migration","2/14","110/23006",0.00198560379339491,0.0208168139630111,0.00925940874791966,"ENSMUSG00000026822/ENSMUSG00000042677",2
"94","d0","GO:0051090","regulation of DNA-binding transcription factor activity","3/14","435/23006",0.00209243326814357,0.0217034301748934,0.00965377946780684,"ENSMUSG00000030717/ENSMUSG00000027398/ENSMUSG00000042677",3
"95","d0","GO:0002757","immune response-activating signaling pathway","3/14","437/23006",0.00211996644324538,0.021757550338571,0.00967785235032793,"ENSMUSG00000051439/ENSMUSG00000033107/ENSMUSG00000042677",3
"96","d0","GO:0002764","immune response-regulating signaling pathway","3/14","447/23006",0.00226104631892404,0.0229637516765723,0.0102143759144376,"ENSMUSG00000051439/ENSMUSG00000033107/ENSMUSG00000042677",3
"97","d0","GO:0032612","interleukin-1 production","2/14","121/23006",0.00239541355767486,0.024077610502402,0.0107098251303532,"ENSMUSG00000027398/ENSMUSG00000042677",2
"98","d0","GO:0002697","regulation of immune effector process","3/14","461/23006",0.00246824142544257,0.0245564835694542,0.0109228299385858,"ENSMUSG00000027398/ENSMUSG00000029380/ENSMUSG00000042677",3
"99","d0","GO:0038061","non-canonical NF-kappaB signal transduction","2/14","125/23006",0.00255353711855077,0.0250393718103711,0.011137620713493,"ENSMUSG00000027398/ENSMUSG00000042677",2
"100","d0","GO:0032602","chemokine production","2/14","126/23006",0.00259382210548459,0.0250393718103711,0.011137620713493,"ENSMUSG00000027398/ENSMUSG00000042265",2
"101","d0","GO:1905954","positive regulation of lipid localization","2/14","126/23006",0.00259382210548459,0.0250393718103711,0.011137620713493,"ENSMUSG00000027398/ENSMUSG00000042677",2
"102","d0","GO:0002688","regulation of leukocyte chemotaxis","2/14","134/23006",0.00292690986695397,0.0275775677998893,0.012266621250801,"ENSMUSG00000027398/ENSMUSG00000042265",2
"103","d0","GO:0032479","regulation of type I interferon production","2/14","134/23006",0.00292690986695397,0.0275775677998893,0.012266621250801,"ENSMUSG00000051439/ENSMUSG00000033107",2
"104","d0","GO:0032874","positive regulation of stress-activated MAPK cascade","2/14","135/23006",0.00296989191691116,0.0275775677998893,0.012266621250801,"ENSMUSG00000027398/ENSMUSG00000042677",2
"105","d0","GO:0141060","disruption of anatomical structure in another organism","2/14","135/23006",0.00296989191691116,0.0275775677998893,0.012266621250801,"ENSMUSG00000029380/ENSMUSG00000042265",2
"106","d0","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","2/14","137/23006",0.00305674981533359,0.0279917535883507,0.0124508528781652,"ENSMUSG00000027398/ENSMUSG00000042677",2
"107","d0","GO:0003158","endothelium development","2/14","138/23006",0.00310062501286347,0.0279917535883507,0.0124508528781652,"ENSMUSG00000026822/ENSMUSG00000027398",2
"108","d0","GO:0032606","type I interferon production","2/14","138/23006",0.00310062501286347,0.0279917535883507,0.0124508528781652,"ENSMUSG00000051439/ENSMUSG00000033107",2
"109","d0","GO:0062207","regulation of pattern recognition receptor signaling pathway","2/14","140/23006",0.0031892662790062,0.0285278405690922,0.0126893066822844,"ENSMUSG00000051439/ENSMUSG00000033107",2
"110","d0","GO:0002444","myeloid leukocyte mediated immunity","2/14","151/23006",0.00369791750847073,0.0327769960978088,0.014579349411387,"ENSMUSG00000029380/ENSMUSG00000042265",2
"111","d0","GO:0010634","positive regulation of epithelial cell migration","2/14","162/23006",0.00424200513893804,0.0366013717740229,0.0162804482276896,"ENSMUSG00000026822/ENSMUSG00000042677",2
"112","d0","GO:0050729","positive regulation of inflammatory response","2/14","162/23006",0.00424200513893804,0.0366013717740229,0.0162804482276896,"ENSMUSG00000030717/ENSMUSG00000027398",2
"113","d0","GO:0050921","positive regulation of chemotaxis","2/14","162/23006",0.00424200513893804,0.0366013717740229,0.0162804482276896,"ENSMUSG00000027398/ENSMUSG00000042265",2
"114","d0","GO:0007613","memory","2/14","164/23006",0.00434470397982771,0.0371586524590528,0.0165283290830011,"ENSMUSG00000026822/ENSMUSG00000027398",2
"115","d0","GO:0043433","negative regulation of DNA-binding transcription factor activity","2/14","169/23006",0.0046064976788614,0.0390550890164336,0.0173718722534636,"ENSMUSG00000030717/ENSMUSG00000042677",2
"116","d0","GO:0006865","amino acid transport","2/14","170/23006",0.00465971900289307,0.0391657416191444,0.0174210910090013,"ENSMUSG00000027737/ENSMUSG00000027398",2
"117","d0","GO:0002687","positive regulation of leukocyte migration","2/14","172/23006",0.00476702169319748,0.0393885267022673,0.0175201867760692,"ENSMUSG00000027398/ENSMUSG00000042265",2
"118","d0","GO:0010565","regulation of cellular ketone metabolic process","2/14","172/23006",0.00476702169319748,0.0393885267022673,0.0175201867760692,"ENSMUSG00000027737/ENSMUSG00000027398",2
"119","d0","GO:0032675","regulation of interleukin-6 production","2/14","173/23006",0.00482110242502426,0.0395006291125937,0.0175700504122954,"ENSMUSG00000027398/ENSMUSG00000042677",2
"120","d0","GO:0001909","leukocyte mediated cytotoxicity","2/14","175/23006",0.00493012107765995,0.0400572337559871,0.0178176305613675,"ENSMUSG00000029380/ENSMUSG00000042265",2
"121","d0","GO:0002367","cytokine production involved in immune response","2/14","177/23006",0.00504028053916522,0.0402809305384105,0.0179171318562215,"ENSMUSG00000027398/ENSMUSG00000042265",2
"122","d0","GO:0010594","regulation of endothelial cell migration","2/14","177/23006",0.00504028053916522,0.0402809305384105,0.0179171318562215,"ENSMUSG00000026822/ENSMUSG00000042677",2
"123","d0","GO:0032635","interleukin-6 production","2/14","182/23006",0.0053206536477827,0.041501098452705,0.0184598678137808,"ENSMUSG00000027398/ENSMUSG00000042677",2
"124","d0","GO:0045766","positive regulation of angiogenesis","2/14","182/23006",0.0053206536477827,0.041501098452705,0.0184598678137808,"ENSMUSG00000027398/ENSMUSG00000042677",2
"125","d0","GO:1904018","positive regulation of vasculature development","2/14","182/23006",0.0053206536477827,0.041501098452705,0.0184598678137808,"ENSMUSG00000027398/ENSMUSG00000042677",2
"126","d0","GO:0002705","positive regulation of leukocyte mediated immunity","2/14","187/23006",0.00560810161322869,0.0426659727745813,0.0189780089426478,"ENSMUSG00000027398/ENSMUSG00000029380",2
"127","d0","GO:1905952","regulation of lipid localization","2/14","190/23006",0.00578394998516907,0.0426659727745813,0.0189780089426478,"ENSMUSG00000027398/ENSMUSG00000042677",2
"128","d0","GO:0071674","mononuclear cell migration","2/14","194/23006",0.00602233979878779,0.0426659727745813,0.0189780089426478,"ENSMUSG00000022651/ENSMUSG00000042265",2
"129","d0","GO:0002408","myeloid dendritic cell chemotaxis","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000022651",1
"130","d0","GO:0031666","positive regulation of lipopolysaccharide-mediated signaling pathway","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000051439",1
"131","d0","GO:0033212","iron import into cell","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000026822",1
"132","d0","GO:0051775","response to redox state","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000027737",1
"133","d0","GO:0070391","response to lipoteichoic acid","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000051439",1
"134","d0","GO:0071223","cellular response to lipoteichoic acid","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000051439",1
"135","d0","GO:0106104","regulation of glutamate receptor clustering","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000027737",1
"136","d0","GO:0150078","positive regulation of neuroinflammatory response","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000030717",1
"137","d0","GO:1903596","regulation of gap junction assembly","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000027398",1
"138","d0","GO:1904717","regulation of AMPA glutamate receptor clustering","1/14","10/23006",0.00606991590255501,0.0426659727745813,0.0189780089426478,"ENSMUSG00000027737",1
"139","d0","GO:0001659","temperature homeostasis","2/14","195/23006",0.00608263611863262,0.0426659727745813,0.0189780089426478,"ENSMUSG00000026822/ENSMUSG00000027398",2
"140","d0","GO:0032872","regulation of stress-activated MAPK cascade","2/14","201/23006",0.00645026051743904,0.0432673279148293,0.0192454943059753,"ENSMUSG00000027398/ENSMUSG00000042677",2
"141","d0","GO:0045807","positive regulation of endocytosis","2/14","201/23006",0.00645026051743904,0.0432673279148293,0.0192454943059753,"ENSMUSG00000027398/ENSMUSG00000051439",2
