,Unnamed: 0,Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,expandlist
116,117,d0,GO:0002687,positive regulation of leukocyte migration,2/14,172/23006,0.0047670216931974,0.0393885267022673,0.0175201867760692,ENSMUSG00000027398/ENSMUSG00000042265,2,"['ENSMUSG00000027398', 'ENSMUSG00000042265']"
185,186,d0,GO:0050920,regulation of chemotaxis,2/14,240/23006,0.009079963418751,0.0459312273187023,0.0204304082648371,ENSMUSG00000027398/ENSMUSG00000042265,2,"['ENSMUSG00000027398', 'ENSMUSG00000042265']"
197,198,d0,GO:0002685,regulation of leukocyte migration,2/14,245/23006,0.0094466475371307,0.0461123874240605,0.0205109890620383,ENSMUSG00000027398/ENSMUSG00000042265,2,"['ENSMUSG00000027398', 'ENSMUSG00000042265']"
249,250,d1,GO:0097529,myeloid leukocyte migration,12/34,247/23006,7.982503702600829e-16,1.32828861611278e-12,7.32709813543992e-13,ENSMUSG00000028525/ENSMUSG00000024190/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000026072/ENSMUSG00000061353/ENSMUSG00000009281/ENSMUSG00000029648/ENSMUSG00000011008/ENSMUSG00000053475/ENSMUSG00000035385/ENSMUSG00000029371,12,"['ENSMUSG00000028525', 'ENSMUSG00000024190', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000026072', 'ENSMUSG00000061353', 'ENSMUSG00000009281', 'ENSMUSG00000029648', 'ENSMUSG00000011008', 'ENSMUSG00000053475', 'ENSMUSG00000035385', 'ENSMUSG00000029371']"
251,252,d1,GO:0060326,cell chemotaxis,11/34,326/23006,8.36507819286331e-13,4.49274764111164e-10,2.47828690729337e-10,ENSMUSG00000028525/ENSMUSG00000024190/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000061353/ENSMUSG00000009281/ENSMUSG00000029648/ENSMUSG00000053475/ENSMUSG00000035385/ENSMUSG00000040026/ENSMUSG00000029371,11,"['ENSMUSG00000028525', 'ENSMUSG00000024190', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000061353', 'ENSMUSG00000009281', 'ENSMUSG00000029648', 'ENSMUSG00000053475', 'ENSMUSG00000035385', 'ENSMUSG00000040026', 'ENSMUSG00000029371']"
252,253,d1,GO:0030595,leukocyte chemotaxis,10/34,235/23006,1.0799874137287599e-12,4.49274764111164e-10,2.47828690729337e-10,ENSMUSG00000028525/ENSMUSG00000024190/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000061353/ENSMUSG00000009281/ENSMUSG00000029648/ENSMUSG00000053475/ENSMUSG00000035385/ENSMUSG00000029371,10,"['ENSMUSG00000028525', 'ENSMUSG00000024190', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000061353', 'ENSMUSG00000009281', 'ENSMUSG00000029648', 'ENSMUSG00000053475', 'ENSMUSG00000035385', 'ENSMUSG00000029371']"
253,254,d1,GO:0097530,granulocyte migration,9/34,161/23006,1.45101337388906e-12,4.828972508302801e-10,2.66375507796055e-10,ENSMUSG00000028525/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000026072/ENSMUSG00000009281/ENSMUSG00000011008/ENSMUSG00000053475/ENSMUSG00000035385/ENSMUSG00000029371,9,"['ENSMUSG00000028525', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000026072', 'ENSMUSG00000009281', 'ENSMUSG00000011008', 'ENSMUSG00000053475', 'ENSMUSG00000035385', 'ENSMUSG00000029371']"
254,255,d1,GO:1990266,neutrophil migration,8/34,132/23006,1.51797442174633e-11,4.20984906297648e-09,2.32223455396982e-09,ENSMUSG00000028525/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000026072/ENSMUSG00000011008/ENSMUSG00000053475/ENSMUSG00000035385/ENSMUSG00000029371,8,"['ENSMUSG00000028525', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000026072', 'ENSMUSG00000011008', 'ENSMUSG00000053475', 'ENSMUSG00000035385', 'ENSMUSG00000029371']"
255,256,d1,GO:0006935,chemotaxis,11/34,455/23006,3.05010858994093e-11,6.648995488529241e-09,3.6677151227210905e-09,ENSMUSG00000028525/ENSMUSG00000024190/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000061353/ENSMUSG00000009281/ENSMUSG00000029648/ENSMUSG00000053475/ENSMUSG00000035385/ENSMUSG00000040026/ENSMUSG00000029371,11,"['ENSMUSG00000028525', 'ENSMUSG00000024190', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000061353', 'ENSMUSG00000009281', 'ENSMUSG00000029648', 'ENSMUSG00000053475', 'ENSMUSG00000035385', 'ENSMUSG00000040026', 'ENSMUSG00000029371']"
256,257,d1,GO:0042330,taxis,11/34,457/23006,3.1966324464082895e-11,6.648995488529241e-09,3.6677151227210905e-09,ENSMUSG00000028525/ENSMUSG00000024190/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000061353/ENSMUSG00000009281/ENSMUSG00000029648/ENSMUSG00000053475/ENSMUSG00000035385/ENSMUSG00000040026/ENSMUSG00000029371,11,"['ENSMUSG00000028525', 'ENSMUSG00000024190', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000061353', 'ENSMUSG00000009281', 'ENSMUSG00000029648', 'ENSMUSG00000053475', 'ENSMUSG00000035385', 'ENSMUSG00000040026', 'ENSMUSG00000029371']"
257,258,d1,GO:0070555,response to interleukin-1,7/34,97/23006,9.316563665800509e-11,1.72252910443245e-08,9.501805282547421e-09,ENSMUSG00000094686/ENSMUSG00000026072/ENSMUSG00000025746/ENSMUSG00000026582/ENSMUSG00000020227/ENSMUSG00000035385/ENSMUSG00000040026,7,"['ENSMUSG00000094686', 'ENSMUSG00000026072', 'ENSMUSG00000025746', 'ENSMUSG00000026582', 'ENSMUSG00000020227', 'ENSMUSG00000035385', 'ENSMUSG00000040026']"
258,259,d1,GO:0019730,antimicrobial humoral response,8/34,194/23006,3.32902862494084e-10,5.12146283664593e-08,2.8250984270972e-08,ENSMUSG00000057666/ENSMUSG00000032496/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000061353/ENSMUSG00000009281/ENSMUSG00000000983/ENSMUSG00000029371,8,"['ENSMUSG00000057666', 'ENSMUSG00000032496', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000061353', 'ENSMUSG00000009281', 'ENSMUSG00000000983', 'ENSMUSG00000029371']"
261,262,d1,GO:0071621,granulocyte chemotaxis,7/34,130/23006,7.405155606906401e-10,9.47859917684019e-08,5.22857950544322e-08,ENSMUSG00000028525/ENSMUSG00000094686/ENSMUSG00000029380/ENSMUSG00000009281/ENSMUSG00000053475/ENSMUSG00000035385/ENSMUSG00000029371,7,"['ENSMUSG00000028525', 'ENSMUSG00000094686', 'ENSMUSG00000029380', 'ENSMUSG00000009281', 'ENSMUSG00000053475', 'ENSMUSG00000035385', 'ENSMUSG00000029371']"
266,267,d1,GO:0002685,regulation of leukocyte migration,8/34,245/23006,2.10958281347687e-09,1.95019211201418e-07,1.07576386745721e-07,ENSMUSG00000024190/ENSMUSG00000094686/ENSMUSG00000026072/ENSMUSG00000061353/ENSMUSG00000026582/ENSMUSG00000009281/ENSMUSG00000053475/ENSMUSG00000035385,8,"['ENSMUSG00000024190', 'ENSMUSG00000094686', 'ENSMUSG00000026072', 'ENSMUSG00000061353', 'ENSMUSG00000026582', 'ENSMUSG00000009281', 'ENSMUSG00000053475', 'ENSMUSG00000035385']"
284,285,d1,GO:0002687,positive regulation of leukocyte migration,6/34,172/23006,1.80903899488311e-07,8.36178024301524e-06,4.61252047818149e-06,ENSMUSG00000094686/ENSMUSG00000026072/ENSMUSG00000061353/ENSMUSG00000026582/ENSMUSG00000009281/ENSMUSG00000035385,6,"['ENSMUSG00000094686', 'ENSMUSG00000026072', 'ENSMUSG00000061353', 'ENSMUSG00000026582', 'ENSMUSG00000009281', 'ENSMUSG00000035385']"
289,290,d1,GO:0050920,regulation of chemotaxis,6/34,240/23006,1.27510998576695e-06,5.15414868786232e-05,2.84312857781879e-05,ENSMUSG00000024190/ENSMUSG00000094686/ENSMUSG00000061353/ENSMUSG00000009281/ENSMUSG00000053475/ENSMUSG00000035385,6,"['ENSMUSG00000024190', 'ENSMUSG00000094686', 'ENSMUSG00000061353', 'ENSMUSG00000009281', 'ENSMUSG00000053475', 'ENSMUSG00000035385']"
436,437,d1,GO:0007162,negative regulation of cell adhesion,4/34,315/23006,0.0011565825201305,0.0102369857100915,0.0056469202550605,ENSMUSG00000028364/ENSMUSG00000024190/ENSMUSG00000094686/ENSMUSG00000061353,4,"['ENSMUSG00000028364', 'ENSMUSG00000024190', 'ENSMUSG00000094686', 'ENSMUSG00000061353']"
548,549,d4,GO:0006935,chemotaxis,54/314,455/23006,1.0066101882309599e-34,1.2094421411595e-31,5.97873472325598e-32,ENSMUSG00000030805/ENSMUSG00000074129/ENSMUSG00000001847/ENSMUSG00000032383/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000040952/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000019278/ENSMUSG00000040026/ENSMUSG00000004951/ENSMUSG00000040249/ENSMUSG00000024529/ENSMUSG00000003814/ENSMUSG00000027962/ENSMUSG00000044456/ENSMUSG00000025949/ENSMUSG00000021190/ENSMUSG00000025701/ENSMUSG00000026193/ENSMUSG00000060803/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000023992/ENSMUSG00000053158/ENSMUSG00000018819/ENSMUSG00000061353/ENSMUSG00000071866/ENSMUSG00000031740/ENSMUSG00000016024/ENSMUSG00000034116/ENSMUSG00000054400/ENSMUSG00000022425/ENSMUSG00000031875/ENSMUSG00000024190/ENSMUSG00000023175/ENSMUSG00000007815/ENSMUSG00000037966/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000029648/ENSMUSG00000001741/ENSMUSG00000022488/ENSMUSG00000025337/ENSMUSG00000045382/ENSMUSG00000051314/ENSMUSG00000045092/ENSMUSG00000020573/ENSMUSG00000028525/ENSMUSG00000054693/ENSMUSG00000031990,54,"['ENSMUSG00000030805', 'ENSMUSG00000074129', 'ENSMUSG00000001847', 'ENSMUSG00000032383', 'ENSMUSG00000056071', 'ENSMUSG00000056054', 'ENSMUSG00000040952', 'ENSMUSG00000028466', 'ENSMUSG00000009281', 'ENSMUSG00000064210', 'ENSMUSG00000024621', 'ENSMUSG00000019278', 'ENSMUSG00000040026', 'ENSMUSG00000004951', 'ENSMUSG00000040249', 'ENSMUSG00000024529', 'ENSMUSG00000003814', 'ENSMUSG00000027962', 'ENSMUSG00000044456', 'ENSMUSG00000025949', 'ENSMUSG00000021190', 'ENSMUSG00000025701', 'ENSMUSG00000026193', 'ENSMUSG00000060803', 'ENSMUSG00000021702', 'ENSMUSG00000050335', 'ENSMUSG00000023992', 'ENSMUSG00000053158', 'ENSMUSG00000018819', 'ENSMUSG00000061353', 'ENSMUSG00000071866', 'ENSMUSG00000031740', 'ENSMUSG00000016024', 'ENSMUSG00000034116', 'ENSMUSG00000054400', 'ENSMUSG00000022425', 'ENSMUSG00000031875', 'ENSMUSG00000024190', 'ENSMUSG00000023175', 'ENSMUSG00000007815', 'ENSMUSG00000037966', 'ENSMUSG00000049103', 'ENSMUSG00000035373', 'ENSMUSG00000029648', 'ENSMUSG00000001741', 'ENSMUSG00000022488', 'ENSMUSG00000025337', 'ENSMUSG00000045382', 'ENSMUSG00000051314', 'ENSMUSG00000045092', 'ENSMUSG00000020573', 'ENSMUSG00000028525', 'ENSMUSG00000054693', 'ENSMUSG00000031990']"
549,550,d4,GO:0042330,taxis,54/314,457/23006,1.2657344073797299e-34,1.2166239123733998e-31,6.01423696306538e-32,ENSMUSG00000030805/ENSMUSG00000074129/ENSMUSG00000001847/ENSMUSG00000032383/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000040952/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000019278/ENSMUSG00000040026/ENSMUSG00000004951/ENSMUSG00000040249/ENSMUSG00000024529/ENSMUSG00000003814/ENSMUSG00000027962/ENSMUSG00000044456/ENSMUSG00000025949/ENSMUSG00000021190/ENSMUSG00000025701/ENSMUSG00000026193/ENSMUSG00000060803/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000023992/ENSMUSG00000053158/ENSMUSG00000018819/ENSMUSG00000061353/ENSMUSG00000071866/ENSMUSG00000031740/ENSMUSG00000016024/ENSMUSG00000034116/ENSMUSG00000054400/ENSMUSG00000022425/ENSMUSG00000031875/ENSMUSG00000024190/ENSMUSG00000023175/ENSMUSG00000007815/ENSMUSG00000037966/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000029648/ENSMUSG00000001741/ENSMUSG00000022488/ENSMUSG00000025337/ENSMUSG00000045382/ENSMUSG00000051314/ENSMUSG00000045092/ENSMUSG00000020573/ENSMUSG00000028525/ENSMUSG00000054693/ENSMUSG00000031990,54,"['ENSMUSG00000030805', 'ENSMUSG00000074129', 'ENSMUSG00000001847', 'ENSMUSG00000032383', 'ENSMUSG00000056071', 'ENSMUSG00000056054', 'ENSMUSG00000040952', 'ENSMUSG00000028466', 'ENSMUSG00000009281', 'ENSMUSG00000064210', 'ENSMUSG00000024621', 'ENSMUSG00000019278', 'ENSMUSG00000040026', 'ENSMUSG00000004951', 'ENSMUSG00000040249', 'ENSMUSG00000024529', 'ENSMUSG00000003814', 'ENSMUSG00000027962', 'ENSMUSG00000044456', 'ENSMUSG00000025949', 'ENSMUSG00000021190', 'ENSMUSG00000025701', 'ENSMUSG00000026193', 'ENSMUSG00000060803', 'ENSMUSG00000021702', 'ENSMUSG00000050335', 'ENSMUSG00000023992', 'ENSMUSG00000053158', 'ENSMUSG00000018819', 'ENSMUSG00000061353', 'ENSMUSG00000071866', 'ENSMUSG00000031740', 'ENSMUSG00000016024', 'ENSMUSG00000034116', 'ENSMUSG00000054400', 'ENSMUSG00000022425', 'ENSMUSG00000031875', 'ENSMUSG00000024190', 'ENSMUSG00000023175', 'ENSMUSG00000007815', 'ENSMUSG00000037966', 'ENSMUSG00000049103', 'ENSMUSG00000035373', 'ENSMUSG00000029648', 'ENSMUSG00000001741', 'ENSMUSG00000022488', 'ENSMUSG00000025337', 'ENSMUSG00000045382', 'ENSMUSG00000051314', 'ENSMUSG00000045092', 'ENSMUSG00000020573', 'ENSMUSG00000028525', 'ENSMUSG00000054693', 'ENSMUSG00000031990']"
550,551,d4,GO:0097529,myeloid leukocyte migration,41/314,247/23006,2.33379559282909e-32,1.8693702698560998e-29,9.241011671956569e-30,ENSMUSG00000074129/ENSMUSG00000001847/ENSMUSG00000042682/ENSMUSG00000032383/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000040952/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000019278/ENSMUSG00000044456/ENSMUSG00000028413/ENSMUSG00000025949/ENSMUSG00000021190/ENSMUSG00000005103/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000023992/ENSMUSG00000061353/ENSMUSG00000071866/ENSMUSG00000031740/ENSMUSG00000016024/ENSMUSG00000037706/ENSMUSG00000034116/ENSMUSG00000055447/ENSMUSG00000054400/ENSMUSG00000000957/ENSMUSG00000029163/ENSMUSG00000024190/ENSMUSG00000023175/ENSMUSG00000037966/ENSMUSG00000004665/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000029648/ENSMUSG00000022488/ENSMUSG00000028525/ENSMUSG00000031990/ENSMUSG00000022505,41,"['ENSMUSG00000074129', 'ENSMUSG00000001847', 'ENSMUSG00000042682', 'ENSMUSG00000032383', 'ENSMUSG00000056071', 'ENSMUSG00000056054', 'ENSMUSG00000040952', 'ENSMUSG00000028466', 'ENSMUSG00000009281', 'ENSMUSG00000064210', 'ENSMUSG00000024621', 'ENSMUSG00000019278', 'ENSMUSG00000044456', 'ENSMUSG00000028413', 'ENSMUSG00000025949', 'ENSMUSG00000021190', 'ENSMUSG00000005103', 'ENSMUSG00000021702', 'ENSMUSG00000050335', 'ENSMUSG00000023992', 'ENSMUSG00000061353', 'ENSMUSG00000071866', 'ENSMUSG00000031740', 'ENSMUSG00000016024', 'ENSMUSG00000037706', 'ENSMUSG00000034116', 'ENSMUSG00000055447', 'ENSMUSG00000054400', 'ENSMUSG00000000957', 'ENSMUSG00000029163', 'ENSMUSG00000024190', 'ENSMUSG00000023175', 'ENSMUSG00000037966', 'ENSMUSG00000004665', 'ENSMUSG00000049103', 'ENSMUSG00000035373', 'ENSMUSG00000029648', 'ENSMUSG00000022488', 'ENSMUSG00000028525', 'ENSMUSG00000031990', 'ENSMUSG00000022505']"
551,552,d4,GO:0060326,cell chemotaxis,45/314,326/23006,7.55588701298003e-32,5.187656140626e-29,2.56445668996931e-29,ENSMUSG00000074129/ENSMUSG00000001847/ENSMUSG00000032383/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000040952/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000019278/ENSMUSG00000040026/ENSMUSG00000004951/ENSMUSG00000024529/ENSMUSG00000003814/ENSMUSG00000027962/ENSMUSG00000044456/ENSMUSG00000025949/ENSMUSG00000021190/ENSMUSG00000025701/ENSMUSG00000060803/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000061353/ENSMUSG00000071866/ENSMUSG00000031740/ENSMUSG00000016024/ENSMUSG00000034116/ENSMUSG00000054400/ENSMUSG00000022425/ENSMUSG00000024190/ENSMUSG00000023175/ENSMUSG00000037966/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000029648/ENSMUSG00000001741/ENSMUSG00000022488/ENSMUSG00000025337/ENSMUSG00000045382/ENSMUSG00000051314/ENSMUSG00000045092/ENSMUSG00000028525/ENSMUSG00000054693/ENSMUSG00000031990,45,"['ENSMUSG00000074129', 'ENSMUSG00000001847', 'ENSMUSG00000032383', 'ENSMUSG00000056071', 'ENSMUSG00000056054', 'ENSMUSG00000040952', 'ENSMUSG00000028466', 'ENSMUSG00000009281', 'ENSMUSG00000064210', 'ENSMUSG00000024621', 'ENSMUSG00000019278', 'ENSMUSG00000040026', 'ENSMUSG00000004951', 'ENSMUSG00000024529', 'ENSMUSG00000003814', 'ENSMUSG00000027962', 'ENSMUSG00000044456', 'ENSMUSG00000025949', 'ENSMUSG00000021190', 'ENSMUSG00000025701', 'ENSMUSG00000060803', 'ENSMUSG00000021702', 'ENSMUSG00000050335', 'ENSMUSG00000061353', 'ENSMUSG00000071866', 'ENSMUSG00000031740', 'ENSMUSG00000016024', 'ENSMUSG00000034116', 'ENSMUSG00000054400', 'ENSMUSG00000022425', 'ENSMUSG00000024190', 'ENSMUSG00000023175', 'ENSMUSG00000037966', 'ENSMUSG00000049103', 'ENSMUSG00000035373', 'ENSMUSG00000029648', 'ENSMUSG00000001741', 'ENSMUSG00000022488', 'ENSMUSG00000025337', 'ENSMUSG00000045382', 'ENSMUSG00000051314', 'ENSMUSG00000045092', 'ENSMUSG00000028525', 'ENSMUSG00000054693', 'ENSMUSG00000031990']"
552,553,d4,GO:0030595,leukocyte chemotaxis,38/314,235/23006,1.34806378599276e-29,8.09849319435151e-27,4.00339469077061e-27,ENSMUSG00000074129/ENSMUSG00000001847/ENSMUSG00000032383/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000040952/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000019278/ENSMUSG00000003814/ENSMUSG00000044456/ENSMUSG00000025949/ENSMUSG00000021190/ENSMUSG00000025701/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000061353/ENSMUSG00000071866/ENSMUSG00000031740/ENSMUSG00000016024/ENSMUSG00000034116/ENSMUSG00000054400/ENSMUSG00000024190/ENSMUSG00000023175/ENSMUSG00000037966/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000029648/ENSMUSG00000001741/ENSMUSG00000022488/ENSMUSG00000025337/ENSMUSG00000051314/ENSMUSG00000045092/ENSMUSG00000028525/ENSMUSG00000054693/ENSMUSG00000031990,38,"['ENSMUSG00000074129', 'ENSMUSG00000001847', 'ENSMUSG00000032383', 'ENSMUSG00000056071', 'ENSMUSG00000056054', 'ENSMUSG00000040952', 'ENSMUSG00000028466', 'ENSMUSG00000009281', 'ENSMUSG00000064210', 'ENSMUSG00000024621', 'ENSMUSG00000019278', 'ENSMUSG00000003814', 'ENSMUSG00000044456', 'ENSMUSG00000025949', 'ENSMUSG00000021190', 'ENSMUSG00000025701', 'ENSMUSG00000021702', 'ENSMUSG00000050335', 'ENSMUSG00000061353', 'ENSMUSG00000071866', 'ENSMUSG00000031740', 'ENSMUSG00000016024', 'ENSMUSG00000034116', 'ENSMUSG00000054400', 'ENSMUSG00000024190', 'ENSMUSG00000023175', 'ENSMUSG00000037966', 'ENSMUSG00000049103', 'ENSMUSG00000035373', 'ENSMUSG00000029648', 'ENSMUSG00000001741', 'ENSMUSG00000022488', 'ENSMUSG00000025337', 'ENSMUSG00000051314', 'ENSMUSG00000045092', 'ENSMUSG00000028525', 'ENSMUSG00000054693', 'ENSMUSG00000031990']"
565,566,d4,GO:0002685,regulation of leukocyte migration,33/314,245/23006,3.39811288966546e-23,7.776824070348661e-21,3.84438134936087e-21,ENSMUSG00000022548/ENSMUSG00000001847/ENSMUSG00000042682/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000003814/ENSMUSG00000044456/ENSMUSG00000021190/ENSMUSG00000032011/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000023992/ENSMUSG00000061353/ENSMUSG00000016024/ENSMUSG00000032038/ENSMUSG00000037706/ENSMUSG00000055447/ENSMUSG00000000957/ENSMUSG00000029163/ENSMUSG00000024190/ENSMUSG00000007815/ENSMUSG00000037966/ENSMUSG00000004665/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000059552/ENSMUSG00000022488/ENSMUSG00000027843/ENSMUSG00000034845/ENSMUSG00000054693/ENSMUSG00000031990,33,"['ENSMUSG00000022548', 'ENSMUSG00000001847', 'ENSMUSG00000042682', 'ENSMUSG00000028466', 'ENSMUSG00000009281', 'ENSMUSG00000064210', 'ENSMUSG00000024621', 'ENSMUSG00000003814', 'ENSMUSG00000044456', 'ENSMUSG00000021190', 'ENSMUSG00000032011', 'ENSMUSG00000021702', 'ENSMUSG00000050335', 'ENSMUSG00000023992', 'ENSMUSG00000061353', 'ENSMUSG00000016024', 'ENSMUSG00000032038', 'ENSMUSG00000037706', 'ENSMUSG00000055447', 'ENSMUSG00000000957', 'ENSMUSG00000029163', 'ENSMUSG00000024190', 'ENSMUSG00000007815', 'ENSMUSG00000037966', 'ENSMUSG00000004665', 'ENSMUSG00000049103', 'ENSMUSG00000035373', 'ENSMUSG00000059552', 'ENSMUSG00000022488', 'ENSMUSG00000027843', 'ENSMUSG00000034845', 'ENSMUSG00000054693', 'ENSMUSG00000031990']"
